accession,PF00154_results,PF00154_domain_results,PF21134_domain_results,gold_standards_results,PF21134_results,Walker_A,Walker_B
XMQ95077,1,0,0,1,0,1,1
XDR01266,1,1,1,1,1,1,1
WNO25330,1,0,0,1,0,0,1
WNO25098,1,0,0,1,0,0,1
XLY77758,1,1,1,1,1,1,1
WGJ78542,1,1,0,1,0,1,1
XLQ29474,1,1,1,1,1,1,1
XLM56194,1,1,0,1,0,1,1
XBA89584,1,1,1,1,1,1,1
XLL18380,1,1,1,1,1,1,1
XLG28237,1,1,0,1,0,0,1
XLG27405,0,0,0,0,0,1,1
XLG26096,1,1,0,1,0,1,1
XLG25413,1,1,0,1,0,1,0
XLG24782,1,1,0,1,0,0,1
XLG23789,1,1,0,1,0,1,0
XLG23610,0,0,0,0,0,0,1
XLE98483,1,0,0,1,0,1,1
XLE98270,1,0,0,1,0,1,1
XLE98064,1,0,0,1,0,1,1
XLE97856,1,0,0,1,0,1,1
XAG94916,1,1,0,1,1,1,1
XKC24153,1,1,1,1,1,1,1
XKC22556,1,0,0,1,0,1,1
XKC21180,1,0,0,1,0,1,1
XKC18860,1,0,0,1,0,1,1
XKC18358,1,1,0,1,0,1,1
XKC18248,0,0,0,0,0,1,1
XJP08863,1,1,0,1,0,0,1
XIJ69057,1,1,0,1,0,1,1
XHY09339,0,0,0,0,0,0,1
XHH74879,1,1,1,1,1,1,1
XHH73923,1,0,0,0,0,1,1
XHH73898,1,0,0,0,0,1,1
XHH73854,1,0,0,0,0,1,1
XHH73696,1,0,0,0,0,1,1
XHH73659,1,0,0,0,0,1,1
XHH73514,1,0,0,0,0,1,1
WVX87167,1,1,1,1,1,1,1
XGU08019,1,1,0,1,0,1,0
XGU07500,1,1,0,1,0,1,0
XGU06302,1,1,0,1,0,1,0
XGU06048,1,1,0,1,0,0,1
XGU05139,1,0,0,1,0,1,1
UYL22564,1,1,1,1,1,1,1
XEN22024,1,1,0,1,0,1,1
XEN14688,1,0,0,1,0,1,1
XEN13287,1,1,0,1,0,1,1
XEN12361,1,1,0,1,0,0,1
XDQ96444,1,1,1,1,1,1,1
XDQ96182,1,1,1,1,1,1,1
WNO24027,1,1,1,1,1,1,1
XDJ26111,0,0,0,0,0,0,1
XDJ03295,1,1,1,1,1,1,1
XDJ02333,0,0,0,0,0,1,1
XDJ00286,1,1,1,1,1,1,1
XDG31042,1,1,1,1,1,1,1
WZW73058,1,1,1,1,1,1,1
WDQ45472,0,0,0,0,0,1,0
XCI66121,1,0,0,1,0,1,1
WNM73345,1,1,0,1,0,1,1
XAI71116,1,1,0,1,1,1,1
XAI70068,1,0,0,1,0,1,1
XAO34940,1,1,0,1,0,1,0
XAV38279,1,1,1,1,1,1,1
XAO35259,1,0,0,0,0,1,1
WPJ20895,1,1,1,1,1,1,1
WZX06288,1,1,1,1,1,1,1
WZX06023,1,1,1,1,1,1,1
WZK93392,1,1,0,1,0,1,1
WZE64652,1,1,1,1,1,1,1
WZB39575,1,1,0,1,0,1,0
WPJ56242,1,1,1,1,1,1,1
WPJ52625,1,1,1,1,1,1,1
WPJ51230,1,1,1,1,1,1,1
WPJ50052,1,1,1,1,0,1,1
WPJ49804,1,1,1,1,1,1,1
WPJ49532,1,1,1,1,1,1,1
WPJ48896,1,1,1,1,1,1,1
WPJ48449,1,1,1,1,1,1,1
WPJ48172,1,1,1,1,1,1,1
WPJ47821,1,1,1,1,1,1,1
WPJ47352,1,1,1,1,1,1,1
WYV71579,0,0,0,0,0,1,1
WYC17952,1,0,0,1,0,0,1
WXW92973,1,1,0,1,0,1,1
WXW92576,1,1,0,1,0,1,1
WWT49612,1,1,1,1,1,1,1
WWT39338,1,1,0,1,0,1,1
WWS25222,1,1,1,1,1,1,1
WWS24773,1,1,1,1,1,1,1
WWS24499,1,1,1,1,1,1,1
WWS24067,1,1,1,1,1,1,1
WWS23726,1,1,1,1,1,1,1
WWS23646,1,1,1,1,1,1,1
WWS23156,1,1,1,1,1,1,1
WWQ02147,1,0,0,1,0,1,1
WWP52119,1,1,1,1,1,1,1
AFD02779,1,1,0,1,0,1,1
WWE96862,1,1,1,1,1,1,1
WVX98315,1,1,1,1,1,1,1
WVX93282,0,0,0,0,0,1,1
WVX93214,0,0,0,0,0,1,1
WVX93130,0,0,0,0,0,1,1
WVW36975,1,0,0,1,0,1,1
WVP82737,1,1,0,1,1,1,1
WLJ70793,0,0,0,1,0,1,1
WNV47410,1,1,1,1,1,1,1
WPJ67653,1,1,1,1,1,1,1
AHY26549,1,1,0,1,0,1,1
WRQ08203,0,0,0,0,0,1,1
UYE95321,1,1,1,1,1,1,1
ASZ74743,1,0,0,1,0,1,1
WQZ01008,1,1,1,1,1,1,1
WCD43754,1,1,1,1,1,1,1
WCD43576,1,1,1,1,1,1,1
QXJ36726,1,0,0,1,0,1,1
WQN07024,1,1,1,1,1,1,1
CAK6624514,1,1,1,1,1,1,1
UYD60058,1,1,1,1,1,1,1
UYD59387,1,1,1,1,1,1,1
WPK18152,1,1,1,1,1,1,1
WPJ72144,1,1,1,1,1,1,1
WPJ71756,1,1,1,1,1,1,1
WPJ71487,1,1,1,1,1,1,1
WPJ71219,1,1,1,1,1,1,1
WPJ70693,1,1,1,1,1,1,1
WPJ70471,1,1,1,1,1,1,1
WPJ21291,1,1,1,1,1,1,1
WPH60355,1,0,0,1,0,1,1
WPH58923,1,0,0,1,0,1,0
WPH58411,1,1,0,1,0,1,1
WPH58212,1,0,0,1,0,1,0
BEU75481,1,1,0,1,0,1,1
WMU08004,1,0,0,1,0,1,1
WMI31754,1,1,0,1,0,0,1
WOZ56556,1,1,1,1,1,1,1
WOZ17414,1,1,0,1,0,1,1
WOL24921,1,1,1,1,1,1,1
QEG11013,1,1,1,1,1,1,1
WOF01167,1,1,1,1,1,1,1
UGL60147,1,1,0,1,1,1,1
WNO29881,1,1,0,1,0,1,1
WNN95444,1,1,0,1,0,1,0
WNN94651,1,0,0,0,0,1,1
WNM74744,1,1,0,1,0,1,1
WNM73673,1,1,0,1,0,1,1
WNM72963,1,1,0,1,0,1,1
WNM72694,0,0,0,0,0,1,1
WNM67123,1,1,0,1,0,0,1
WNL50962,1,1,0,1,0,1,1
WDS51879,1,1,0,1,0,1,0
USL85923,1,1,1,1,1,1,1
WMI33697,1,0,0,1,0,1,1
WMI33460,1,0,0,0,0,1,1
UVK61175,1,1,0,1,0,1,1
UVK60931,1,1,0,1,0,1,1
UVK59985,1,1,0,1,0,1,1
UUG69396,1,0,0,1,0,1,1
UTN93060,1,0,0,0,0,1,1
UTN92319,1,0,0,0,0,1,1
UTN91884,0,0,0,0,0,1,0
URQ04679,1,0,0,0,0,1,1
UOW93514,1,1,0,1,0,1,1
UMO76276,1,1,0,1,0,1,1
UJQ86392,0,0,0,0,0,1,1
UJQ86134,0,0,0,0,0,1,1
UGL63081,1,1,0,1,0,1,1
UEM46630,0,0,0,0,0,1,1
QZE11660,1,0,0,0,0,1,1
QZE11430,1,0,0,0,0,1,1
QZE11203,1,0,0,0,0,1,1
QZE10508,1,0,0,1,0,1,1
QWT29955,1,0,0,1,0,1,1
QRI45771,1,1,0,1,0,1,1
QQV92432,1,0,0,0,0,1,1
QQO39751,1,0,0,0,0,1,1
QPL13722,1,1,0,1,0,1,1
QOI67463,1,0,0,0,0,1,1
QNN99168,1,0,0,0,0,1,1
QLF83584,1,0,0,1,0,1,1
QLF83578,0,0,0,0,0,1,1
QLF83337,1,0,0,1,0,1,1
QJD50830,1,1,0,1,0,1,1
QIQ63238,1,0,0,1,0,1,1
QIQ62950,1,0,0,1,0,1,1
QIN94618,1,0,0,1,0,1,1
QIN94053,1,0,0,1,0,1,1
QIG58365,1,0,0,1,0,1,1
QGJ94940,1,0,0,1,0,1,1
QGJ93781,0,0,0,0,0,0,1
QGH79394,1,0,0,0,0,1,1
QFP98205,1,0,0,1,0,1,1
QFP97398,1,1,0,1,0,1,1
QFG07946,0,0,0,0,0,1,0
QFG07867,1,0,0,0,0,1,1
QDM55727,0,0,0,0,0,0,1
QDH91796,1,0,0,1,0,1,1
QDF18872,1,0,0,1,0,1,1
QDF18640,1,0,0,1,0,1,1
QBZ72346,1,0,0,1,0,1,1
QBJ00095,0,0,0,0,0,0,1
QBI99867,0,0,0,0,0,0,1
QBI97591,0,0,0,0,0,0,1
AZU97143,1,0,0,0,0,1,1
AZS07482,0,0,0,0,0,0,1
AYR01440,1,0,0,1,0,1,1
AYQ99288,1,0,0,1,0,0,1
AYB70922,1,1,0,1,0,1,1
AYB69626,0,0,0,0,0,0,1
AXY85932,1,0,0,1,0,1,1
AXQ63335,1,0,0,0,0,1,1
AXQ62549,0,0,0,0,0,0,1
AXQ52372,0,0,0,0,0,0,1
AXN54000,1,0,0,1,0,1,1
AXH68777,1,0,0,0,0,1,1
AXH49442,0,0,0,0,0,1,0
AXH49207,1,0,0,0,0,1,1
AXG66182,1,0,0,0,0,1,1
AWY10033,1,0,0,1,0,1,1
AWY07537,1,0,0,0,0,1,0
AWY07455,0,0,0,0,0,1,0
AWY07372,1,0,0,0,0,1,1
AWY07292,1,0,0,0,0,1,1
AWN04449,1,0,0,1,0,0,1
AWN03942,1,0,0,1,0,0,1
AVO21668,0,0,0,0,0,1,1
AVJ48689,1,0,0,1,0,1,1
AVJ48458,1,0,0,1,0,1,1
AVI04780,1,0,0,1,0,1,1
AVD99262,1,0,0,1,0,1,1
ATS92985,0,0,0,0,0,0,1
ASZ74919,1,0,0,0,0,1,1
ATN89859,0,0,0,0,0,0,1
ATN87857,1,0,0,1,0,1,1
ATN87403,1,0,0,1,0,1,1
ATN94050,1,1,0,1,0,1,1
ASJ79660,0,0,0,0,0,1,1
APD17211,1,0,0,1,0,1,1
AOZ63694,1,0,0,1,0,1,1
AOZ63534,1,0,0,1,0,1,1
AON96953,1,0,0,1,0,1,1
ALF51270,1,0,0,1,0,1,1
ALF51044,1,0,0,1,0,1,1
AKY02473,1,0,0,1,0,1,1
AKG94746,1,0,0,1,0,1,1
AIX12858,1,0,0,1,0,1,1
AIM50023,0,0,0,0,0,0,1
AIK69356,0,0,0,0,0,0,1
AID18260,1,0,0,1,0,1,1
AGV99902,1,0,0,1,0,1,1
AGV99664,1,0,0,1,0,1,1
AGT11851,0,0,0,0,0,0,1
AGM13861,1,0,0,1,0,1,1
AGM13479,1,0,0,1,0,1,1
AGM13140,1,0,0,1,0,1,1
AER47993,0,0,0,0,0,0,1
AER26006,1,0,0,1,0,1,1
AER25773,1,0,0,1,0,1,1
AEN79801,1,0,0,1,0,1,1
AEK08205,0,0,0,0,0,0,1
AEK06970,1,0,0,1,0,1,1
AEK06655,1,0,0,1,0,1,1
AEJ92196,0,0,0,0,0,0,1
ACH62850,1,0,0,1,0,1,1
ACH62162,1,0,0,1,0,1,1
WLY86624,1,1,1,1,1,1,1
WLY86237,1,1,1,1,1,1,1
WLY86150,1,1,1,1,1,1,1
WLY85931,1,1,1,1,1,1,1
UNA01904,1,1,1,1,1,1,1
WLW37256,1,1,0,1,0,1,1
WLW37101,1,1,0,1,0,1,1
WLW36780,1,1,0,1,0,1,1
BAF36099,1,0,0,1,0,1,1
WGH49847,1,1,0,1,0,1,1
WGH49652,1,1,0,1,0,1,1
WLI71662,1,1,1,1,1,1,1
UHD87220,1,0,0,1,0,0,1
WKW86767,1,0,0,0,0,1,0
WBM23547,1,1,1,1,1,1,1
WKV32846,1,0,0,1,0,0,1
WKV22974,1,1,1,1,1,1,1
WKM80407,1,1,1,1,1,1,1
WKK95812,1,1,1,1,1,1,1
WKN59823,1,1,1,1,1,1,1
WIC89204,0,0,0,0,0,1,0
WIC88965,0,0,0,0,0,1,1
WKC56069,1,0,0,0,0,0,1
CBZ42216,1,1,0,1,0,1,1
WJZ70188,1,1,0,1,0,1,1
WJZ48367,1,1,0,1,0,1,1
WJZ44411,1,0,0,1,0,1,1
AYJ75996,1,1,0,1,0,1,1
AYJ75770,1,1,0,1,0,1,1
AYJ75370,1,1,0,1,0,1,1
AYJ75223,1,0,0,1,0,1,1
AYJ74142,1,1,0,1,0,1,1
WJJ57102,1,1,1,1,1,1,1
WJJ54340,0,0,0,1,0,1,1
WJJ54027,1,1,1,1,1,1,1
WJE87915,1,1,1,1,1,1,1
AET72752,1,1,0,1,0,1,1
UGO47028,1,1,1,1,1,1,1
QPX74464,1,1,0,1,1,1,1
WIL01900,1,1,1,1,1,1,1
UZZ63980,0,0,0,0,0,0,1
WBL99177,1,1,0,1,1,1,1
QIW90405,1,1,1,1,1,1,1
WEM33337,1,1,1,1,1,1,1
YP_009784588,1,1,0,1,0,1,1
YP_009784362,1,1,0,1,0,1,1
YP_009781996,1,1,0,1,0,1,1
YP_009781764,1,1,0,1,0,1,1
YP_009781533,1,1,0,1,0,1,1
YP_009781300,1,1,0,1,0,1,1
YP_009781067,1,1,0,1,0,1,1
YP_009780853,1,1,0,1,0,1,1
YP_009780622,1,1,0,1,0,1,1
YP_008240121,1,1,0,1,0,1,1
WGL39711,1,0,0,1,0,1,1
WGH28595,1,0,0,1,0,1,1
WGH28457,1,0,0,0,0,0,1
WGH19872,1,1,0,1,0,1,1
WGG26156,1,1,1,1,1,1,1
YP_010754372,0,0,0,0,0,1,1
QJD54724,0,0,0,0,0,0,1
WGA02305,1,1,0,1,0,1,1
YP_010740240,0,0,0,0,0,0,1
CAI3971366,0,0,0,0,0,1,0
WEU68073,0,0,0,0,0,1,1
WEU67818,1,1,1,1,1,1,1
WDS61206,1,1,0,1,0,1,1
WDS60946,1,1,0,1,0,1,1
UYE95121,1,1,1,1,1,1,1
WDQ26312,1,1,1,1,1,1,1
BCV04678,1,1,0,1,0,1,1
WCS70008,1,1,0,1,0,1,1
WCS69761,1,1,0,1,0,1,1
WCS69506,1,1,0,1,0,1,1
WCS69248,1,1,0,1,0,1,1
WCS68993,1,1,0,1,0,1,1
WCS68068,1,1,0,1,0,1,1
WCS66854,1,1,1,1,1,1,1
YP_010675749,1,1,0,1,0,0,1
YP_010675622,1,1,0,1,0,0,1
YP_010670227,1,1,0,1,0,1,1
YP_010669606,1,1,0,1,0,1,1
YP_010669337,1,1,0,1,0,1,1
YP_010665831,1,1,1,1,1,1,1
YP_010665420,0,0,0,0,0,1,1
YP_010665335,0,0,0,0,0,1,1
YP_010662767,1,1,0,1,1,0,1
YP_010662632,0,1,0,1,1,0,1
YP_010662016,1,1,0,1,1,0,1
YP_010661767,0,1,1,1,1,0,1
YP_010661513,0,1,1,1,1,0,1
YP_010661260,0,1,1,1,1,0,1
YP_010656630,1,1,0,1,0,1,1
YP_010651450,1,1,0,1,0,1,1
BBI57387,1,1,1,1,1,1,1
ARM70861,1,1,1,1,1,1,1
BCV03674,0,0,0,0,0,1,1
CAI6013068,1,0,0,0,0,0,1
UWI42441,1,0,0,1,0,1,1
UWI42346,1,1,0,1,0,1,1
UWI41987,1,1,0,1,0,1,1
UWI41736,1,1,0,1,0,1,1
UWI41487,1,1,0,1,0,1,1
UWI41211,1,1,0,1,0,1,1
UWI41125,0,0,0,0,0,1,1
UWI38913,1,1,0,1,0,1,1
UWI37982,1,1,0,1,0,1,1
UWI37891,1,1,0,1,0,1,1
UWI37731,1,1,0,1,0,1,1
UWI36644,1,1,0,1,0,1,1
UWI34709,1,0,0,0,0,1,1
UWI32215,1,1,0,1,0,1,1
UWI30082,1,1,1,1,1,1,1
UWI29292,1,1,0,1,0,1,1
UWI28887,1,0,0,1,0,1,1
UWI27732,1,1,0,1,0,1,1
UWI26683,1,1,0,1,0,1,1
UWI26206,1,1,0,1,0,1,1
UWI24926,1,1,0,1,0,1,1
UWI23381,1,1,0,1,0,1,1
UWI21488,1,1,0,1,0,1,1
UWI18251,1,0,0,1,0,1,1
UWI15660,1,1,0,1,0,1,1
UWI13695,0,0,0,0,0,1,1
UWI11850,1,0,0,1,0,1,1
UWI11542,1,1,0,1,0,1,1
UWI09927,1,0,0,0,0,0,1
UWI09827,1,1,0,1,0,1,1
UWI08431,1,1,0,1,0,1,1
UWI08126,1,1,0,1,0,1,1
UWI07714,1,1,0,1,0,1,1
UWI07163,1,1,0,1,0,1,1
UWI04424,1,0,0,1,0,1,1
UWI00314,1,1,0,1,0,1,1
UWH98425,1,1,0,1,0,1,1
UWH98306,1,0,0,1,0,1,1
UWH97079,1,1,0,1,0,1,1
UWH91579,0,0,0,0,0,1,1
UWH91032,1,1,0,1,0,1,1
UWG94176,1,0,0,1,0,1,1
UWG93336,0,0,0,0,0,1,1
UWG88397,1,1,0,1,0,1,1
UWG85923,1,0,0,1,0,1,1
UWG85821,1,1,0,1,0,1,1
UWG85258,1,1,0,1,0,1,1
UWG85164,1,1,0,1,0,1,1
UWG82489,1,0,0,0,0,0,1
UWG81356,1,1,0,1,0,1,1
UWG80022,1,1,0,1,0,1,1
UWG76100,1,1,0,1,0,1,1
UWG72394,1,1,0,1,0,1,1
UWG68177,1,0,0,1,0,1,1
UWG67801,1,1,0,1,0,1,1
UWD76945,1,0,0,0,0,0,1
UWD76455,1,1,0,1,0,1,1
UWD72994,1,1,0,1,0,1,1
UWD71689,1,1,0,1,0,1,1
UWD69317,1,0,0,0,0,0,1
UWD69110,1,0,0,1,0,0,1
UWD68242,1,1,0,1,0,1,1
UWD65860,1,1,0,1,0,1,1
UWD63872,1,1,0,1,0,1,1
UWD63122,1,1,0,1,0,1,1
UWD61934,1,1,0,1,0,1,1
UWD60996,1,1,0,1,0,1,1
UWD60599,1,1,0,1,0,1,1
UWD59538,1,1,0,1,0,1,1
UWD55309,1,0,0,1,0,1,1
UWD54023,1,1,0,1,0,0,1
WBM58936,1,1,1,1,1,1,1
YP_010357352,1,0,0,1,0,1,1
YP_010357154,1,0,0,1,0,1,1
YP_010114417,1,0,0,0,0,1,1
YP_010111818,0,0,0,0,0,0,1
YP_010111512,0,0,0,0,0,0,1
YP_010104848,1,1,0,1,0,1,1
YP_010103975,1,1,0,1,0,1,1
YP_010074718,1,1,1,1,1,1,1
YP_010074246,1,1,1,1,1,1,1
YP_010073980,1,1,1,1,1,1,1
YP_010071786,1,1,1,1,1,1,1
YP_010071083,1,1,1,1,1,1,1
YP_010068837,1,1,1,1,1,1,1
YP_010050273,1,0,0,0,0,1,0
YP_010049900,1,0,0,0,0,1,0
YP_010038000,0,0,0,0,0,1,1
YP_009986978,0,0,0,0,0,0,0
YP_009889461,1,1,1,1,1,1,1
YP_009889258,1,1,0,1,1,1,1
YP_009889058,1,1,0,1,1,1,1
YP_009888850,1,1,0,1,1,1,1
YP_009888648,1,1,0,1,1,1,1
YP_009888443,1,1,0,1,1,1,1
YP_009888240,1,1,0,1,1,1,1
YP_009887835,1,1,0,1,1,1,1
YP_009887651,1,1,0,1,1,1,1
YP_009887458,1,1,0,1,1,1,1
YP_009884644,1,1,1,1,1,1,1
YP_009883756,1,1,1,1,1,1,1
YP_009856032,1,1,1,1,1,1,1
YP_009854194,1,1,0,1,0,1,1
YP_009851516,0,0,0,0,0,1,1
YP_009850742,1,1,1,1,1,1,1
YP_009793756,0,0,0,0,0,0,1
YP_009779568,1,1,0,1,0,1,1
YP_009779353,1,1,0,1,0,1,1
YP_009779142,1,1,0,1,0,1,1
YP_009778891,1,1,0,1,0,1,1
YP_009778613,1,1,0,1,0,1,1
YP_009778325,1,1,0,1,0,1,1
YP_009594818,1,1,1,1,1,1,1
YP_009015710,1,0,0,1,0,1,1
YP_007237363,1,1,1,1,1,1,1
YP_004956966,1,1,0,1,0,1,1
YP_004421719,1,1,0,1,0,1,1
YP_004300858,1,1,1,1,1,1,1
YP_004300647,1,1,1,1,1,1,1
YP_003858336,1,1,1,1,1,1,1
YP_002854376,1,1,1,1,1,1,1
YP_001468521,1,1,0,1,0,1,1
YP_802982,1,1,1,1,1,1,1
YP_239013,1,1,1,1,1,1,1
YP_164688,1,0,0,1,0,1,1
NP_943894,1,1,1,1,1,1,1
NP_620347,0,0,0,0,0,1,0
NP_049656,1,1,1,1,1,1,1
YP_010103459,1,1,0,1,0,1,1
YP_010101504,1,1,0,1,0,1,0
YP_010100625,1,1,1,1,1,1,1
YP_010100140,1,1,1,1,1,1,1
YP_010097317,1,1,1,1,1,1,1
YP_010096010,1,1,1,1,1,1,1
YP_010095309,1,1,0,1,0,1,1
YP_010094912,1,1,1,1,1,1,1
YP_010094381,1,1,1,1,1,1,1
YP_010093088,1,1,1,1,1,1,1
YP_010092771,1,1,1,1,1,1,0
YP_010076514,1,1,1,1,1,1,1
YP_010075206,1,1,1,1,1,1,1
YP_010073689,1,1,1,1,1,1,1
YP_010073411,1,1,1,1,1,1,1
YP_010072984,1,1,1,1,1,1,1
YP_010071519,1,1,1,1,1,1,1
YP_010069607,1,1,1,1,1,1,1
YP_010069064,1,1,1,1,1,1,1
YP_010068278,1,1,1,1,1,1,1
YP_010050516,1,0,0,0,0,1,0
YP_010050455,1,0,0,0,0,1,0
YP_010050086,1,0,0,0,0,1,0
YP_009882750,1,1,1,1,1,1,1
YP_009881357,1,1,0,1,1,1,1
YP_009881158,1,1,0,1,1,1,1
YP_009880227,1,1,0,1,1,1,1
YP_009879789,1,1,0,1,1,1,1
YP_009876908,1,1,0,1,1,1,1
YP_009844103,1,0,0,1,0,1,1
YP_009842026,1,1,1,1,1,1,1
YP_009840256,1,1,0,1,0,1,1
YP_009840008,1,1,0,1,0,1,1
YP_009839522,1,1,0,1,0,1,1
YP_009838222,1,1,0,1,1,1,1
YP_009818179,1,0,0,1,0,1,1
YP_009816183,0,0,0,0,0,1,1
YP_009816092,1,1,0,1,0,1,1
YP_009814455,1,0,0,1,0,1,1
YP_009814285,1,0,0,1,0,1,1
YP_009798416,1,0,0,1,0,1,1
YP_009796504,1,1,1,1,1,1,1
YP_009796288,1,1,1,1,1,1,1
YP_009791320,1,1,0,1,0,1,1
YP_009620736,1,0,0,1,0,1,1
YP_009619249,1,1,1,1,1,1,1
YP_009618855,1,1,1,1,1,1,1
