model,accession,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,paper_dir,host_paper_dir,duration,decision,nodes,timings,JSONDecodeError,thermal_source,inference_type,host_paper,thermal_paper,error_message
gemma4:e4b,WLW37101,Synechococcus phage S-MS29,"{""uid"": ""2565119853"", ""accession"": ""WLW37101"", ""title"": ""recombination protein [Synechococcus phage S-MS29]"", ""organism"": ""Synechococcus phage S-MS29"", ""taxonId"": 3038209, ""sequence_length"": 336, ""create_date"": ""2023/08/23"", ""update_date"": ""2023/08/23"", ""dbsource"": ""insd"", ""extra"": ""gi|2565119853|gb|WLW37101.1|"", ""host"": ""Synechococcus sp. MW02"", ""country"": ""China"", ""isolation_source"": ""seawater""}",Synechococcus sp. MW02,species,"The host is 'Synechococcus sp. MW02', and the isolation source is 'seawater'. Seawater environments are typically associated with mesophilic conditions, but no explicit temperature is given.",,metadata,True,mesophile,,"The study was conducted in Jiaozhou Bay, a 'temperate semi-enclosed bay'. The results show that temperature was highest in summer (August) (27.7–29.2°C) and lowest in winter (February) (3.4–4.7°C). The discussion section notes that the 'optimum temperature range of 27.5–29.5°C in summer seemed to be favorable for high abundance of Synechococcus'. Since the observed temperature range spans from 3.4°C to 29.2°C, and the optimal growth temperature is around 27.5–29.5°C, which falls within the 15–45°C range, the organism is characterized as mesophilic based on the observed and optimal conditions in this temperate bay.",,True,TMP_results/accessions/WLW37101/library/accession_lit,TMP_results/accessions/WLW37101/library/host_lit,174.76,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.36, ""CreateAccessionLibrary"": 22.28, ""ClassifyThermalLiterature"": 84.36, ""ClassifyHostMetadata"": 2.88, ""ClassifyThermalRangeHostLiterature"": 39.37}",False,host_literature,inferred,,PMC10808157.1.txt,
gemma4:e4b,WLW36780,Synechococcus phage S-8S29,"{""uid"": ""2565119531"", ""accession"": ""WLW36780"", ""title"": ""recombination protein [Synechococcus phage S-8S29]"", ""organism"": ""Synechococcus phage S-8S29"", ""taxonId"": 3038205, ""sequence_length"": 336, ""create_date"": ""2023/08/23"", ""update_date"": ""2023/08/23"", ""dbsource"": ""insd"", ""extra"": ""gi|2565119531|gb|WLW36780.1|"", ""host"": ""Parasynechococcus marenigrum WH 8102"", ""country"": ""China"", ""isolation_source"": ""seawater""}",Parasynechococcus marenigrum WH 8102,species,The host is isolated from 'seawater'.,,metadata,True,mesophile,,forced,,True,TMP_results/accessions/WLW36780/library/accession_lit,TMP_results/accessions/WLW36780/library/host_lit,150.05,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForced""]","{""ClassifyThermalMetadata"": 2.39, ""CreateAccessionLibrary"": 21.46, ""ClassifyThermalLiterature"": 83.89, ""ClassifyHostMetadata"": 2.38, ""ClassifyThermalForced"": 4.72}",False,metadata,forced,,,
gemma4:e4b,WGH49847,Alishewanella phage vB_AspM_Slickus01,"{""uid"": ""2493102135"", ""accession"": ""WGH49847"", ""title"": ""hypothetical protein [Alishewanella phage vB_AspM_Slickus01]"", ""organism"": ""Alishewanella phage vB_AspM_Slickus01"", ""taxonId"": 3038239, ""sequence_length"": 340, ""create_date"": ""2023/08/17"", ""update_date"": ""2023/08/17"", ""dbsource"": ""insd"", ""extra"": ""gi|2493102135|gb|WGH49847.1|"", ""host"": ""Alishewanella sp. SMS8"", ""country"": ""Sweden"", ""isolation_source"": ""surface microlayer"", ""lat_lon"": ""56.83 N 16.45 E"", ""collection_date"": ""31-May-2021"", ""collected_by"": ""J. Rahlff""}",,,,,,False,mesophile,,"The isolation source is 'surface microlayer' and the location is 'Sweden' (lat_lon: '56.83 N 16.45 E'). These environments are generally associated with moderate temperatures, suggesting a mesophilic range.",,True,TMP_results/accessions/WGH49847/library/accession_lit,,2.72,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.72}",False,metadata,inferred,,,
gemma4:e4b,WGH49652,Alishewanella phage vB_AspM_Slicko01,"{""uid"": ""2493101939"", ""accession"": ""WGH49652"", ""title"": ""hypothetical protein [Alishewanella phage vB_AspM_Slicko01]"", ""organism"": ""Alishewanella phage vB_AspM_Slicko01"", ""taxonId"": 3038238, ""sequence_length"": 340, ""create_date"": ""2023/08/17"", ""update_date"": ""2023/08/17"", ""dbsource"": ""insd"", ""extra"": ""gi|2493101939|gb|WGH49652.1|"", ""host"": ""Alishewanella sp. SMS8"", ""country"": ""Sweden"", ""isolation_source"": ""surface microlayer"", ""lat_lon"": ""56.84 N 16.48 E"", ""collection_date"": ""31-May-2021"", ""collected_by"": ""J. Rahlff""}",,,,,,False,mesophile,,"The isolation source is 'surface microlayer' and the location is 'Sweden' (lat_lon: '56.84 N 16.48 E'). These environments are generally associated with moderate temperatures, suggesting a mesophilic range.",,True,TMP_results/accessions/WGH49652/library/accession_lit,,2.3,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.3}",False,metadata,inferred,,,
gemma4:e4b,WLI71662,Salmonella phage vB_SenM-AKM_NP4,"{""uid"": ""2559802903"", ""accession"": ""WLI71662"", ""title"": ""recombinase [Salmonella phage vB_SenM-AKM_NP4]"", ""organism"": ""Salmonella phage vB_SenM-AKM_NP4"", ""taxonId"": 3053882, ""sequence_length"": 387, ""create_date"": ""2023/08/14"", ""update_date"": ""2023/08/14"", ""dbsource"": ""insd"", ""extra"": ""gi|2559802903|gb|WLI71662.1|"", ""host"": ""Salmonella sp."", ""lab_host"": ""Salmonella enterica subsp. enterica serovar Newport"", ""country"": ""Canada"", ""isolation_source"": ""wastewater"", ""collection_date"": ""2019"", ""collected_by"": ""Carlos E. Martinez-Soto""}",,,,,,False,mesophile,,"The paper mentions several incubation temperatures for bacterial growth and phage activity. For general bacterial culture and phage propagation, the following temperatures are explicitly stated: 
1. Overnight culture preparation: ""incubated overnight at 37°C"" (Multiple instances).
2. Phage adsorption/incubation: ""incubated for 15 min at 37°C"" (Multiple instances).
3. Phage one-step growth curve incubation: ""incubated at 37°C"" (Multiple instances).
4. Biocontrol experiment incubation: ""incubated at 25°C"" and ""15°C"" (Fig. 7 caption).
5. Phage cocktail growth inhibition: ""Plate was incubated at 25°C for 24 h"" (Fig. 5 caption).

The optimal growth temperature for the host bacteria (Salmonella) and the standard incubation temperature for phage assays are consistently set at 37°C, which falls within the mesophile range (15–45°C).",,True,TMP_results/accessions/WLI71662/library/accession_lit,,72.08,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 1.99, ""CreateAccessionLibrary"": 12.9, ""ClassifyThermalLiterature"": 57.19}",False,literature,explicit,,PMC10972627.1.txt,
gemma4:e4b,WBM23547,Escherichia phage PNJ-6,"{""uid"": ""2422010214"", ""accession"": ""WBM23547"", ""title"": ""RecA-like recombination protein [Escherichia phage PNJ-6]"", ""organism"": ""Escherichia phage PNJ-6"", ""taxonId"": 3017168, ""sequence_length"": 390, ""create_date"": ""2023/08/02"", ""update_date"": ""2023/08/02"", ""dbsource"": ""insd"", ""extra"": ""gi|2422010214|gb|WBM23547.1|"", ""host"": ""Escherichia coli EAEC CVCC232"", ""country"": ""China"", ""isolation_source"": ""chicken feces"", ""collection_date"": ""2019""}",Escherichia coli EAEC CVCC232,species,The host is Escherichia coli EAEC CVCC232. The isolation source is 'chicken feces'. Feces are typically associated with mesophilic environments.,,metadata,True,mesophile,,forced,,True,TMP_results/accessions/WBM23547/library/accession_lit,TMP_results/accessions/WBM23547/library/host_lit,128.87,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature"", ""ClassifyThermalForced""]","{""ClassifyThermalMetadata"": 2.35, ""CreateAccessionLibrary"": 19.21, ""ClassifyThermalLiterature"": 72.87, ""ClassifyHostMetadata"": 2.79, ""ClassifyThermalForced"": 4.23}",False,metadata,forced,,,
gemma4:e4b,WKV22974,Escherichia phage BW-1,"{""uid"": ""2552398318"", ""accession"": ""WKV22974"", ""title"": ""RecA-like recombinase [Escherichia phage BW-1]"", ""organism"": ""Escherichia phage BW-1"", ""taxonId"": 3061954, ""sequence_length"": 393, ""create_date"": ""2023/07/30"", ""update_date"": ""2023/07/30"", ""dbsource"": ""insd"", ""extra"": ""gi|2552398318|gb|WKV22974.1|"", ""host"": ""Escherichia coli str. K-12 substr. MG1655"", ""country"": ""Germany""}",,,,,,False,mesophile,,"The text explicitly states the growth condition for the isolated L. salivarius strain: ""The isolated L. strain was grown at 30°C under anaerobic conditions in a custom medium containing protease and yeast extract.""",high,True,TMP_results/accessions/WKV22974/library/accession_lit,,108.46000000000001,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.62, ""CreateAccessionLibrary"": 24.01, ""ClassifyThermalLiterature"": 81.83}",False,literature,explicit,,PMC12380024.1.txt,
gemma4:e4b,WKM80407,Salmonella phage SW16-7,"{""uid"": ""2548361241"", ""accession"": ""WKM80407"", ""title"": ""RecA-like recombination protein [Salmonella phage SW16-7]"", ""organism"": ""Salmonella phage SW16-7"", ""taxonId"": 3062021, ""sequence_length"": 361, ""create_date"": ""2023/07/24"", ""update_date"": ""2023/07/24"", ""dbsource"": ""insd"", ""extra"": ""gi|2548361241|gb|WKM80407.1|"", ""host"": ""Salmonella enterica subsp. enterica serovar Weltevreden SA161"", ""country"": ""China""}",,,,,,False,mesophile,,"The paper explicitly states the optimal incubation temperature for several procedures involving the phage and host bacteria. Specifically, in Section 2.1, it mentions that the strains were ""cultured in RCM agar... or broth under anaerobic conditions at 37 °C."" In Section 2.3, it states that the enriched culture was incubated ""at 37 °C under anaerobic conditions."" Furthermore, in Section 2.5, the one-step growth curve was conducted by incubating the mixture ""at 37 °C."" In Section 2.6, the spot tests were incubated ""at 37 °C for 24 h."" In Section 2.9, the mixtures were incubated ""anaerobically at 37 °C."" In Section 2.10, the initial incubation for biofilm formation was ""anaerobically at 37 °C."" The stability test (Section 2.7) also used 37 °C for pH stability testing. Since 37 °C falls within the mesophile range (15–45°C), the phage is characterized as mesophilic.",,True,TMP_results/accessions/WKM80407/library/accession_lit,,55.18,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.7, ""CreateAccessionLibrary"": 20.89, ""ClassifyThermalLiterature"": 31.59}",False,literature,explicit,,PMC11356600.1.txt,
gemma4:e4b,WKK95812,Klebsiella phage ValerieMcCarty03,"{""uid"": ""2547509518"", ""accession"": ""WKK95812"", ""title"": ""putative DNA recombination/repair protein [Klebsiella phage ValerieMcCarty03]"", ""organism"": ""Klebsiella phage ValerieMcCarty03"", ""taxonId"": 3061174, ""sequence_length"": 391, ""create_date"": ""2023/07/23"", ""update_date"": ""2023/07/23"", ""dbsource"": ""insd"", ""extra"": ""gi|2547509518|gb|WKK95812.1|"", ""host"": ""Klebsiella oxytoca clinical isolate"", ""lab_host"": ""Klebsiella oxytoca clinical isolate"", ""country"": ""USA: Utah Valley, Utah"", ""isolation_source"": ""raw sewage""}",,,,,,False,mesophile,,"The isolation source is 'raw sewage', which typically represents mesophilic environments. The host is 'Klebsiella oxytoca clinical isolate', which are generally associated with mesophilic hosts.",,True,TMP_results/accessions/WKK95812/library/accession_lit,,2.77,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.77}",False,metadata,inferred,,,
gemma4:e4b,WKN59823,Klebsiella phage AYL,"{""uid"": ""2548748982"", ""accession"": ""WKN59823"", ""title"": ""recombination and repair protein [Klebsiella phage AYL]"", ""organism"": ""Klebsiella phage AYL"", ""taxonId"": 2914023, ""sequence_length"": 385, ""create_date"": ""2023/07/19"", ""update_date"": ""2023/07/19"", ""dbsource"": ""insd"", ""extra"": ""gi|2548748982|gb|WKN59823.1|"", ""host"": ""Klebsiella sp."", ""isolation_source"": ""sewage""}",,,,,,False,mesophile,,"The isolation source is 'sewage'. Sewage environments are typically associated with mesophilic conditions, as no specific extreme temperature is mentioned.",,True,TMP_results/accessions/WKN59823/library/accession_lit,,1.96,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 1.96}",False,metadata,inferred,,,
gemma4:e4b,CBZ42216,Campylobacter phage CP81,"{""uid"": ""343178385"", ""accession"": ""CBZ42216"", ""title"": ""hypothetical protein [Campylobacter phage CP81]"", ""organism"": ""Campylobacter phage CP81"", ""taxonId"": 2927008, ""sequence_length"": 347, ""create_date"": ""2011/08/09"", ""update_date"": ""2023/07/14"", ""dbsource"": ""insd"", ""extra"": ""gi|343178385|emb|CBZ42216.1|"", ""host"": ""Campylobacter jejuni"", ""country"": ""Germany:Bavaria"", ""isolation_source"": ""chicken skin""}",Campylobacter jejuni,species,"The host is Campylobacter jejuni. The isolation source is 'chicken skin' from 'Germany:Bavaria'. Campylobacter species are generally associated with mammalian/enteric environments, which typically imply mesophilic conditions.",,metadata,True,mesophile,,"The paper mentions incubation temperatures for various analyses. For the isolation of Campylobacter spp., the incubation steps include 'incubated for 5 h at 37 °C and 44 h at 41.5 °C' and 'incubated under microaerophilic conditions at 37 °C for 36 h ± 2 h.' For the isolation of H. pylori, incubation was performed 'at 37 °C under microaerophilic conditions for seven days.' These temperatures (37°C and 41.5°C) fall within the mesophile range (15–45°C).",,True,TMP_results/accessions/CBZ42216/library/accession_lit,TMP_results/accessions/CBZ42216/library/host_lit,83.75,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.15, ""CreateAccessionLibrary"": 7.75, ""ClassifyThermalLiterature"": 0.02, ""ClassifyHostMetadata"": 2.07, ""ClassifyThermalRangeHostLiterature"": 36.16}",False,host_literature,explicit,,PMC13163335.1.txt,
gemma4:e4b,WJZ70188,Campylobacter phage F341,"{""uid"": ""2532655582"", ""accession"": ""WJZ70188"", ""title"": ""putative RecA-like recombination protein [Campylobacter phage F341]"", ""organism"": ""Campylobacter phage F341"", ""taxonId"": 3056222, ""sequence_length"": 347, ""create_date"": ""2023/07/12"", ""update_date"": ""2023/07/12"", ""dbsource"": ""insd"", ""extra"": ""gi|2532655582|gb|WJZ70188.1|"", ""host"": ""Campylobacter jejuni NCTC12658"", ""country"": ""Denmark"", ""isolation_source"": ""Broiler intestine"", ""collection_date"": ""2004""}",,,,,,False,mesophile,,"The isolation source is 'Broiler intestine', which suggests a host-associated environment typical of mesophiles. No explicit temperature range is provided.",,True,TMP_results/accessions/WJZ70188/library/accession_lit,,2.33,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.33}",False,metadata,inferred,,,
gemma4:e4b,WJZ48367,Synechococcus phage DSL-LC02,"{""uid"": ""2531907309"", ""accession"": ""WJZ48367"", ""title"": ""recombinase [Synechococcus phage DSL-LC02]"", ""organism"": ""Synechococcus phage DSL-LC02"", ""taxonId"": 3058947, ""sequence_length"": 335, ""create_date"": ""2023/07/11"", ""update_date"": ""2023/07/11"", ""dbsource"": ""insd"", ""extra"": ""gi|2531907309|gb|WJZ48367.1|"", ""host"": ""Synechococcus sp."", ""country"": ""China"", ""isolation_source"": ""water sample of Dishui Lake""}",,,,,,False,mesophile,,"The isolation source is 'water sample of Dishui Lake'. Lakes are generally associated with mesophilic environments, leading to an inference of mesophilic range.",,True,TMP_results/accessions/WJZ48367/library/accession_lit,,2.08,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.08}",False,metadata,inferred,,,
gemma4:e4b,AYJ75996,Bacillus phage BSP14,"{""uid"": ""1490698748"", ""accession"": ""AYJ75996"", ""title"": ""RecA [Bacillus phage BSP14]"", ""organism"": ""Bacillus phage BSP14"", ""taxonId"": 2301653, ""sequence_length"": 403, ""create_date"": ""2023/07/01"", ""update_date"": ""2023/07/01"", ""dbsource"": ""insd"", ""extra"": ""gi|1490698748|gnl|FMSL|BSP14_121|gb|AYJ75996.1|"", ""host"": ""Bacillus subtilis ATCC 14593"", ""country"": ""South Korea""}",,,,,,False,mesophile,,"The text explicitly states the temperature range tested for BCP01 stability: ""BCP01 retained infectivity over a pH range of 3 to 11 and a temperature range of -20 to 50°C (Fig. 1C and 1D)."" It also states that the phage titer remained at ""approximately 8.61 to 9.38 log PFU/mL between 4 and 40°C"". Since the mesophilic range is defined as 15–45°C, and the phage showed stable activity up to 40°C, this falls within the mesophilic classification. Furthermore, the general growth conditions for the host strain B. cereus were 37°C, which is mesophilic.",,True,TMP_results/accessions/AYJ75996/library/accession_lit,,52.83,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.18, ""CreateAccessionLibrary"": 22.14, ""ClassifyThermalLiterature"": 28.51}",False,literature,explicit,,PMC13125745.1.txt,
gemma4:e4b,AYJ75770,Bacillus phage BSP18,"{""uid"": ""1490695611"", ""accession"": ""AYJ75770"", ""title"": ""RecA [Bacillus phage BSP18]"", ""organism"": ""Bacillus phage BSP18"", ""taxonId"": 2301655, ""sequence_length"": 398, ""create_date"": ""2023/07/01"", ""update_date"": ""2023/07/01"", ""dbsource"": ""insd"", ""extra"": ""gi|1490695611|gnl|FMSL|BSP18_136|gb|AYJ75770.1|"", ""host"": ""Bacillus subtilis KACC 17797""}",,,,,,False,mesophile,,forced,,True,TMP_results/accessions/AYJ75770/library/accession_lit,,27.96,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""ClassifyThermalForced""]","{""ClassifyThermalMetadata"": 2.54, ""CreateAccessionLibrary"": 10.83, ""ClassifyThermalLiterature"": 3.46, ""ClassifyHostMetadata"": 2.57, ""ClassifyHostLiterature"": 3.93, ""ClassifyThermalForced"": 4.63}",False,metadata,forced,,,
gemma4:e4b,AYJ75370,Bacillus phage BSP21,"{""uid"": ""1490690184"", ""accession"": ""AYJ75370"", ""title"": ""RecA [Bacillus phage BSP21]"", ""organism"": ""Bacillus phage BSP21"", ""taxonId"": 2301658, ""sequence_length"": 398, ""create_date"": ""2023/07/01"", ""update_date"": ""2023/07/01"", ""dbsource"": ""insd"", ""extra"": ""gi|1490690184|gb|AYJ75370.1|"", ""host"": ""Bacillus subtilis KACC 17797"", ""country"": ""South Korea""}",Bacillus subtilis KACC 17797,species,The host is Bacillus subtilis KACC 17797. No temperature information is provided for this host or the phage.,,metadata,True,mesophile,,"The text explicitly states the culture conditions for growing the bacteria: ""All of the bacteria were grown in Tryptic soy broth (TSB; BD, Sparks, MD, USA) or TSB agar (TSA) plates (1.5% agar) at 37 °C, unless otherwise indicated."" Furthermore, multiple sections confirm incubation at 37 °C, such as: ""...incubated at 37 °C with agitation (160 rpm) for 12 h."" and ""...followed by incubation at 37 °C for 12 h."" and ""...followed by incubation at 37 °C for 72 h."" Since 37°C falls within the mesophile range (15–45°C), the host is classified as mesophile.",,True,TMP_results/accessions/AYJ75370/library/accession_lit,TMP_results/accessions/AYJ75370/library/host_lit,54.75,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.6, ""CreateAccessionLibrary"": 3.73, ""ClassifyThermalLiterature"": 0.04, ""ClassifyHostMetadata"": 1.97, ""ClassifyThermalRangeHostLiterature"": 33.39}",False,host_literature,explicit,,PMC5977233.1.txt,
gemma4:e4b,AYJ74142,Bacillus phage BSP15,"{""uid"": ""1490642550"", ""accession"": ""AYJ74142"", ""title"": ""RecA [Bacillus phage BSP15]"", ""organism"": ""Bacillus phage BSP15"", ""taxonId"": 2301654, ""sequence_length"": 398, ""create_date"": ""2023/07/01"", ""update_date"": ""2023/07/01"", ""dbsource"": ""insd"", ""extra"": ""gi|1490642550|gb|AYJ74142.1|"", ""host"": ""Bacillus subtilis KACC 17797"", ""country"": ""South Korea""}",Bacillus subtilis KACC 17797,species,The host is Bacillus subtilis KACC 17797. No temperature information is provided for this host or the phage.,,metadata,True,mesophile,,"The text explicitly states the culture conditions for growing the bacteria: ""All of the bacteria were grown in Tryptic soy broth (TSB; BD, Sparks, MD, USA) or TSB agar (TSA) plates (1.5% agar) at 37 °C, unless otherwise indicated."" Furthermore, multiple sections confirm incubation at 37 °C, such as: ""...incubated at 37 °C with agitation (160 rpm) for 12 h."" and ""...followed by incubation at 37 °C for 12 h."" and ""...followed by incubation at 37 °C for 72 h."" Since 37°C falls within the mesophile range (15–45°C), the host is classified as mesophile.",,True,TMP_results/accessions/AYJ74142/library/accession_lit,TMP_results/accessions/AYJ74142/library/host_lit,52.51,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.54, ""CreateAccessionLibrary"": 3.06, ""ClassifyThermalLiterature"": 0.04, ""ClassifyHostMetadata"": 1.97, ""ClassifyThermalRangeHostLiterature"": 33.39}",False,host_literature,explicit,,PMC5977233.1.txt,
gemma4:e4b,WJJ57102,Escherichia phage LH2,"{""uid"": ""2523359815"", ""accession"": ""WJJ57102"", ""title"": ""recombinase [Escherichia phage LH2]"", ""organism"": ""Escherichia phage LH2"", ""taxonId"": 3055873, ""sequence_length"": 391, ""create_date"": ""2023/06/28"", ""update_date"": ""2023/06/28"", ""dbsource"": ""insd"", ""extra"": ""gi|2523359815|gb|WJJ57102.1|"", ""host"": ""Escherichia coli GXXWH2"", ""country"": ""China"", ""isolation_source"": ""sewage"", ""collection_date"": ""2021""}",,,,,,False,mesophile,,"The isolation source is 'sewage', which typically implies mesophilic conditions, and the host is 'Escherichia coli', which is generally considered a mesophile.",,True,TMP_results/accessions/WJJ57102/library/accession_lit,,2.65,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.65}",False,metadata,inferred,,,
gemma4:e4b,WJJ54027,Escherichia phage AV101,"{""uid"": ""2523356400"", ""accession"": ""WJJ54027"", ""title"": ""RecA-like recombination protein [Escherichia phage AV101]"", ""organism"": ""Escherichia phage AV101"", ""taxonId"": 3053734, ""sequence_length"": 356, ""create_date"": ""2023/06/28"", ""update_date"": ""2023/06/28"", ""dbsource"": ""insd"", ""extra"": ""gi|2523356400|gb|WJJ54027.1|"", ""host"": ""Escherichia coli"", ""lab_host"": ""Escherichia coli ESBL058"", ""country"": ""Denmark"", ""isolation_source"": ""wastewater"", ""collection_date"": ""2016""}",,,,,,False,None,,"The paper mentions the thermal stability profile of phage P-32M-3-Y was assessed by incubating phage suspensions at 4, 25, 37, 50, 60, and 70°C for 1h. However, it does not state the optimal growth temperature or the classification (psychrophile, mesophile, thermophile) for the phage itself, only the tested stability range. The host bacteria were grown at 37°C, which suggests a mesophilic context for the infection model, but this is not a direct characterization of the phage's thermal optimum.",,True,TMP_results/accessions/WJJ54027/library/accession_lit,,79.19999999999999,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.0, ""CreateAccessionLibrary"": 30.24, ""ClassifyThermalLiterature"": 46.96}",False,literature,none,,PMC12753057.1.txt,
gemma4:e4b,WJE87915,Phage C48C1,"{""uid"": ""2522344551"", ""accession"": ""WJE87915"", ""title"": ""DNA repair protein [Phage C48C1]"", ""organism"": ""Phage C48C1"", ""taxonId"": 3053735, ""sequence_length"": 350, ""create_date"": ""2023/06/25"", ""update_date"": ""2023/06/25"", ""dbsource"": ""insd"", ""extra"": ""gi|2522344551|gb|WJE87915.1|"", ""note"": ""probably a Synechococcus phage or Cyanophage""}",,,,,,False,mesophile,,forced,,True,TMP_results/accessions/WJE87915/library/accession_lit,,382.93,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""ClassifyThermalForced""]","{""ClassifyThermalMetadata"": 2.13, ""CreateAccessionLibrary"": 29.78, ""ClassifyThermalLiterature"": 173.71, ""ClassifyHostMetadata"": 2.11, ""ClassifyHostLiterature"": 170.99, ""ClassifyThermalForced"": 4.21}",False,metadata,forced,,,
gemma4:e4b,AET72752,Synechococcus phage S-CAM8,"{""uid"": ""357287003"", ""accession"": ""AET72752"", ""title"": ""UvsX [Synechococcus phage S-CAM8]"", ""organism"": ""Synechococcus phage S-CAM8"", ""taxonId"": 754038, ""sequence_length"": 336, ""create_date"": ""2011/11/21"", ""update_date"": ""2023/06/20"", ""dbsource"": ""insd"", ""extra"": ""gi|357287003|gb|AET72752.1||gnl|CAMERA-phage|SXFG_00204T0"", ""strain"": ""0608SB47"", ""lab_host"": ""Synechococcus sp. WH7803"", ""country"": ""Pacific Ocean: Southern California coast"", ""lat_lon"": ""33.74 N 118.11 W"", ""collection_date"": ""15-Jun-2008""}",,,,,,False,mesophile,,"The collection location is 'Pacific Ocean: Southern California coast' and the collection date is '15-Jun-2008'. Coastal ocean environments are generally associated with mesophilic conditions, as no extreme temperatures are specified.",,True,TMP_results/accessions/AET72752/library/accession_lit,,2.64,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.64}",False,metadata,inferred,,,
gemma4:e4b,UGO47028,Shigella phage ChubbyThor,"{""uid"": ""2163635734"", ""accession"": ""UGO47028"", ""title"": ""putative RecA protein [Shigella phage ChubbyThor]"", ""organism"": ""Shigella phage ChubbyThor"", ""taxonId"": 2902744, ""sequence_length"": 361, ""create_date"": ""2021/12/15"", ""update_date"": ""2023/06/12"", ""dbsource"": ""insd"", ""extra"": ""gi|2163635734|gb|UGO47028.1|"", ""old_name"": ""Shigella phage vB_SboM_ChubbyThor"", ""lab_host"": ""Shigella boydii"", ""country"": ""USA"", ""isolation_source"": ""raw sewage"", ""identified_by"": ""Trever Thurgood""}",,,,,,False,mesophile,,"The isolation source is 'raw sewage'. Sewage environments are generally associated with mesophilic conditions, although this is an inference based on the source type, not an explicit temperature reading.",,True,TMP_results/accessions/UGO47028/library/accession_lit,,2.18,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 2.18}",False,metadata,inferred,,,
