accession,full_sequence_hmm_results,PF00154_custom_hmm_results,PF00154_hmm_results,PF21134_custom_hmm_results,PF21134_hmm_results
WIL02624,1,1,1,0,1
WIL02365,1,1,1,0,1
QSM00476,1,1,1,1,1
YCJ05684,0,0,0,0,0
YCB26705,1,1,1,1,1
YCB25778,1,1,1,1,1
YCB16399,0,0,0,0,0
YCB15776,1,1,1,1,1
YCA88998,1,1,1,0,1
XSD99949,0,0,1,0,0
UNA07295,0,0,0,0,0
UNA07220,0,0,0,0,0
UNA07219,0,0,0,0,0
UNA07146,0,0,0,0,0
UMO75465,0,0,0,0,0
UMO75391,0,0,0,0,0
UMO75315,0,0,0,0,0
UMO75314,0,0,0,0,0
YP_012789541,0,0,1,0,0
YP_011997693,0,0,1,0,0
YP_011372491,0,0,1,0,0
YP_013420532,0,0,0,0,0
YP_011951401,0,0,1,0,0
YP_013608840,0,0,1,0,0
YP_013608432,0,0,0,0,0
YP_013608420,0,0,1,0,0
YP_013608043,0,0,1,0,0
YP_011698660,0,0,1,0,0
YP_011697971,0,0,1,0,0
YBX93090,0,0,0,0,0
YBX92995,0,0,0,0,0
YBX92994,0,0,0,0,0
YBX92932,0,0,0,0,0
YP_011697890,0,0,1,0,0
YP_011697448,0,0,1,0,0
YP_011997923,0,0,1,0,0
YP_013608009,0,0,0,0,0
YP_011813357,0,0,0,0,0
YP_011557350,0,0,1,0,0
YP_011749676,0,0,1,0,0
YP_011997239,0,0,1,0,0
YP_011999036,0,0,1,0,0
YP_011561445,0,0,0,0,0
YP_011561051,0,0,0,0,0
YP_011997466,0,0,1,0,0
WLW38346,0,0,0,0,0
WLW38260,0,0,0,0,0
WJJ53936,0,0,0,0,0
WRQ12700,1,1,1,1,1
YBW68348,1,1,1,1,1
YBW02273,1,1,1,1,1
YBW00969,1,1,1,0,0
YP_012540772,0,0,0,0,0
XHQ01490,0,0,0,0,0
XKC24455,1,1,1,0,0
CAO2920117,0,0,0,0,0
UGC96822,1,1,1,0,0
UFJ83350,0,0,1,0,0
YBB95625,0,0,0,0,0
YBB95084,1,1,1,0,0
YAW78710,1,1,1,1,0
YP_011872756,1,1,1,0,0
YP_012053798,0,0,0,0,0
YAS76301,0,0,0,0,0
YP_011925980,1,1,1,0,0
YP_011629296,0,0,1,0,0
YP_011998364,0,0,1,0,0
YP_012164950,0,0,1,0,0
YP_013537867,0,0,0,0,0
YP_012883239,0,0,0,0,0
DBA54971,0,0,0,0,0
UCR81688,1,1,1,1,1
YAA50864,1,1,1,0,0
WNM70829,1,1,1,0,1
YP_013606416,1,1,1,0,0
XZP18110,0,0,0,0,0
XZP17675,1,1,1,1,1
XCZ64124,1,1,1,0,0
XEN39446,1,1,1,1,1
WVQ24142,0,0,0,0,0
WVH13649,0,0,0,0,0
XYY30729,0,0,0,0,0
XYY30630,0,0,0,0,0
XYY30530,0,0,0,0,0
XYY30213,0,0,0,0,0
XYY30183,0,0,0,0,0
XYY30116,0,0,0,0,0
XYS98208,1,1,1,1,1
XYS96790,0,0,0,0,0
XYS95983,0,0,0,0,0
XYS95962,0,0,0,0,0
XYR95885,1,1,1,0,0
XYR95683,1,1,1,0,0
XYR95463,0,0,0,0,0
XYR95405,0,0,0,0,0
XYR92956,0,0,1,0,0
DBB19697,1,0,1,0,0
XYN57435,0,0,0,0,0
XYN56462,0,0,0,0,0
XYN56207,0,0,0,0,0
XYN49717,0,0,0,0,0
XYN47631,0,0,0,0,0
XYM58971,1,1,1,0,0
XYM58736,1,1,1,0,0
XYM57640,1,1,1,0,0
XYM49803,0,0,0,0,0
XYL46262,0,0,0,0,0
XYL45948,0,0,1,0,0
XYL45353,0,0,0,0,0
XYL33160,0,0,0,0,0
XYL03241,0,0,0,0,0
XYL02759,0,0,0,0,0
XYL02174,1,1,1,0,0
XYL02172,0,0,1,0,0
XYH91864,0,0,1,0,0
XYA23701,0,0,0,0,0
XYA23647,0,0,0,0,0
XYA23594,0,0,0,0,0
XXS07581,1,1,1,1,1
XXQ04733,1,1,1,0,0
XSG62366,0,0,0,0,0
XSG62174,0,0,0,0,0
XSG58106,0,0,0,0,0
XSG55654,0,0,0,0,0
XSG53698,0,0,0,0,0
XSG53046,1,1,1,0,0
XXL68479,1,1,1,1,1
XXJ63011,1,1,1,1,1
XXJ62871,1,1,1,1,1
XXJ49601,0,0,0,0,0
XFC52781,0,0,0,0,0
XWX36420,0,0,0,0,0
XWX33057,0,0,1,0,0
XPK43714,0,0,0,0,0
XPK43311,0,0,0,0,0
XPK43213,0,0,0,0,0
XPK43106,0,0,0,0,0
XPK42927,0,0,0,0,0
XPK42727,0,0,0,0,0
XPK42628,0,0,0,0,0
XPK42550,0,0,0,0,0
XPK42493,0,0,0,0,0
XPK42283,0,0,0,0,0
XPK42199,0,0,0,0,0
XPK42125,0,0,0,0,0
XPK42015,0,0,0,0,0
XPK41893,0,0,0,0,0
XPK41701,0,0,0,0,0
XPK41605,0,0,0,0,0
XPK41520,0,0,0,0,0
XPK41089,0,0,0,0,0
XPK41005,0,0,0,0,0
XPK40927,0,0,0,0,0
XPK40877,0,0,0,0,0
XPK40818,0,0,0,0,0
XPK40748,0,0,0,0,0
XPK40493,0,0,0,0,0
XPK40416,0,0,0,0,0
XPK40331,0,0,0,0,0
XPK40221,0,0,0,0,0
XJW10047,0,0,0,0,0
XWJ58874,0,0,0,0,0
P03692,0,0,0,0,0
XSB42554,1,1,1,0,0
XSB41218,0,0,0,0,0
XSB41151,0,0,0,0,0
XSB40883,0,0,0,0,0
XVF94238,0,0,0,0,0
XVB94676,1,1,1,1,1
XVB94007,1,1,1,0,0
XVB83630,0,0,0,0,0
XVB70918,1,1,1,0,0
UZZ64636,0,0,0,0,0
XUU32831,0,0,0,0,0
XUU32566,0,0,0,0,0
XUU32430,0,0,0,0,0
XUU32072,0,0,0,0,0
XAI97635,0,0,0,0,0
XAI97619,0,0,0,0,0
XUQ15771,0,0,0,0,0
XUQ15690,0,0,0,0,0
XUK81887,0,0,0,0,0
XUJ68614,1,1,1,1,1
QWY14387,1,1,1,1,1
XUE01624,0,0,1,0,0
XUE01308,0,0,0,0,0
XTK85464,0,0,0,0,0
XTK85334,0,0,0,0,0
XTJ52881,0,0,0,0,0
XTB82809,0,0,0,0,0
XAN60209,1,1,1,1,1
XSG66970,0,0,0,0,0
XSG66903,0,0,0,0,0
XSG66741,0,0,0,0,0
WZL55984,0,0,0,0,0
XSB40585,0,0,0,0,0
XCH40014,0,0,0,0,0
XCH39940,0,0,0,0,0
XCH39859,0,0,0,0,0
XOE93122,0,0,0,0,0
XRX12314,0,0,0,0,0
XRT76941,1,1,1,0,0
XRQ87699,1,1,0,1,1
XRM24437,1,1,1,0,0
QXP07734,0,0,0,0,0
XRL29252,1,1,1,0,0
XRL29167,1,1,1,0,0
XRL28930,1,1,1,0,0
XRL27768,0,0,0,0,0
XRL27674,0,0,0,0,0
XRJ07346,0,0,0,0,0
XRH82158,0,0,0,0,0
XRH82089,0,0,0,0,0
XRA40432,0,0,0,0,0
XRA40172,0,0,1,0,0
XRA40050,0,0,0,0,0
XRA39991,0,0,0,0,0
XRA13859,0,0,0,0,0
XRA13742,0,0,0,0,0
XRA13615,0,0,0,0,0
XRA13571,0,0,0,0,0
XRA12560,0,0,0,0,0
XQU42776,1,1,1,1,1
XHG74328,0,0,0,0,0
XEN29370,0,0,0,0,0
XQW42333,0,0,0,0,0
XLY78028,0,0,0,0,0
XQU63049,1,1,1,0,0
XQU59788,1,1,1,0,1
XQU59758,0,0,0,0,0
XQU59609,0,0,0,0,0
XQU49848,0,0,0,0,0
XQU49485,1,1,1,1,1
XQQ56648,0,0,0,0,0
XQQ56485,0,0,0,0,0
XQQ56455,0,0,0,0,0
XQQ56363,0,0,0,0,0
XQQ56309,0,0,0,0,0
XQQ56273,0,0,0,0,0
XQQ56171,0,0,0,0,0
XQQ56104,0,0,0,0,0
XQQ52531,0,0,0,0,0
XQQ51888,1,1,1,1,1
XQQ51607,1,1,1,1,1
XQQ51411,1,1,1,1,1
XQQ50854,1,1,1,0,0
XQP12954,0,0,0,0,0
XQP09641,0,0,0,0,0
XQP02554,1,1,1,0,0
XQP02333,1,1,1,0,0
XQO94789,1,1,1,0,1
XAI93829,0,0,0,0,0
XQM40295,0,0,0,0,0
XQM40233,0,0,0,0,0
XQM40170,0,0,0,0,0
XQM39797,0,0,0,0,0
WZC35836,0,0,0,0,0
XPZ16599,0,0,0,0,0
XPZ16532,0,0,0,0,0
XPZ16464,0,0,0,0,0
XPZ16395,0,0,0,0,0
UZS00991,0,0,0,0,0
XQD64840,0,0,0,0,0
XPT11143,0,0,0,0,0
XPT11064,0,0,0,0,0
XMN01836,0,0,0,0,0
XPQ57719,0,0,0,0,0
XPQ50299,0,0,0,0,0
XPQ50108,0,0,0,0,0
XPQ50044,0,0,0,0,0
XPQ49989,0,0,0,0,0
XPQ49926,0,0,0,0,0
XPQ49856,0,0,0,0,0
XPQ49722,0,0,0,0,0
XPQ49685,0,0,0,0,0
XPQ49629,0,0,0,0,0
XPQ49518,0,0,0,0,0
XPQ49439,0,0,0,0,0
XPQ49321,0,0,0,0,0
XPQ49232,0,0,0,0,0
XPQ49179,0,0,0,0,0
XPQ48074,0,0,1,0,0
XPP60222,1,1,1,1,1
XPP59511,0,0,0,0,0
XPP59346,0,0,0,0,0
XPP56688,1,1,1,0,1
XPP56246,0,0,1,0,0
XPP55660,0,0,0,0,0
XPP54856,0,0,0,0,0
XPP54825,0,0,0,0,0
XPP54779,0,0,0,0,0
XPP54507,0,0,0,0,0
XPP54473,0,0,0,0,0
XPP54447,0,0,0,0,0
XPP54393,0,0,0,0,0
XPP54336,0,0,0,0,0
XPP54273,0,0,0,0,0
XPP54248,0,0,0,0,0
XPP54194,0,0,0,0,0
XPP54145,0,0,0,0,0
XPP54095,0,0,0,0,0
ASP46292,0,0,0,0,0
ARB11284,0,0,0,0,0
ARB11234,0,0,0,0,0
XPP61562,0,0,0,0,0
XPP61528,0,0,0,0,0
XNX26171,0,0,0,0,0
XPO97844,1,1,1,1,1
XPO97706,0,0,0,0,0
XPO97422,0,0,0,0,0
XPO97063,0,0,0,0,0
XPO97011,0,0,0,0,0
XPO96913,0,0,0,0,0
XPO96726,0,0,0,0,0
XPO96695,0,0,0,0,0
XPO96422,0,0,0,0,0
XPO96345,0,0,0,0,0
XPO96086,0,0,0,0,0
XPO95924,1,1,1,0,0
WZX06539,0,0,0,0,0
XPN73279,0,0,0,0,0
XPN63053,0,0,0,0,0
XPN62819,1,1,1,1,1
XPN51502,0,0,0,0,0
XPN46660,0,0,0,0,0
XPN46428,0,0,0,0,0
XPN46347,0,0,0,0,0
XPN41428,0,0,0,0,0
XPN40897,1,1,1,0,0
XPN40694,1,1,1,0,0
XCH43488,1,1,1,0,0
XPB69684,0,0,0,0,0
XPB69606,0,0,0,0,0
XPB67158,0,0,0,0,0
XPB67019,0,0,0,0,0
CAM0109437,0,0,0,0,0
CAM0104777,0,0,0,0,0
CAM0104764,0,0,0,0,0
CAM0109426,0,0,0,0,0
CAM0104595,0,0,0,0,0
CAM0103142,0,0,0,0,0
CAM0103265,0,0,0,0,0
CAM0093927,0,0,0,0,0
CAM0092965,0,0,0,0,0
CAM0093765,0,0,0,0,0
CAM0092854,0,0,0,0,0
CAM0092791,0,0,0,0,0
CAM0091782,0,0,0,0,0
CAM0093070,0,0,0,0,0
CAM0092036,0,0,0,0,0
CAM0092489,0,0,0,0,0
CAM0091690,0,0,0,0,0
CAM0092882,0,0,0,0,0
CAM0091963,0,0,0,0,0
CAM0092450,0,0,0,0,0
CAM0091586,0,0,0,0,0
CAM0092512,0,0,0,0,0
CAM0091517,0,0,0,0,0
CAM0092389,0,0,0,0,0
CAM0091335,0,0,0,0,0
CAM0087880,0,0,0,0,0
CAM0086762,0,0,0,0,0
CAM0086726,0,0,0,0,0
CAM0092741,0,0,0,0,0
CAM0087449,0,0,0,0,0
CAM0086356,0,0,0,0,0
CAM0093050,0,0,0,0,0
CAM0087023,0,0,0,0,0
CAM0085978,0,0,0,0,0
CAM0086906,0,0,0,0,0
CAM0085865,0,0,0,0,0
CAM0086595,0,0,0,0,0
CAM0085477,0,0,0,0,0
CAM0086656,0,0,0,0,0
CAM0085394,0,0,0,0,0
CAM0079350,0,0,0,0,0
CAM0078309,0,0,0,0,0
CAM0079453,0,0,0,0,0
CAM0078416,0,0,0,0,0
CAM0078889,0,0,0,0,0
CAM0077992,0,0,0,0,0
CAM0078822,0,0,0,0,0
CAM0078011,0,0,0,0,0
CAM0077755,0,0,0,0,0
CAM0074799,0,0,0,0,0
CAM0073713,0,0,0,0,0
CAM0070331,0,0,0,0,0
CAM0061490,0,0,0,0,0
CAM0060500,0,0,0,0,0
CAM0061647,0,0,0,0,0
CAM0060680,0,0,0,0,0
CAM0059791,0,0,0,0,0
CAM0058576,0,0,0,0,0
CAM0059751,0,0,0,0,0
CAM0058693,0,0,0,0,0
CAM0059694,0,0,0,0,0
CAM0058513,0,0,0,0,0
CAM0063665,0,0,0,0,0
CAM0058442,0,0,0,0,0
CAM0057412,0,0,0,0,0
CAM0058094,0,0,0,0,0
CAM0056925,0,0,0,0,0
CAM0057848,0,0,0,0,0
CAM0056839,0,0,0,0,0
CAM0057257,0,0,0,0,0
CAM0056152,0,0,0,0,0
CAM0061461,0,0,0,0,0
CAM0057830,0,0,0,0,0
CAM0056589,0,0,0,0,0
CAM0062886,0,0,0,0,0
CAM0062218,0,0,0,0,0
CAM0062197,0,0,0,0,0
CAM0056961,0,0,0,0,0
CAM0054546,0,0,0,0,0
CAM0053550,0,0,0,0,0
CAM0054664,0,0,0,0,0
CAM0053618,0,0,0,0,0
CAM0053945,0,0,0,0,0
CAM0052835,0,0,0,0,0
CAM0053223,0,0,0,0,0
CAM0052161,0,0,0,0,0
CAM0053864,0,0,0,0,0
CAM0052940,0,0,0,0,0
CAM0053328,0,0,0,0,0
CAM0052324,0,0,0,0,0
CAM0052510,0,0,0,0,0
CAM0051685,0,0,0,0,0
CAM0052918,0,0,0,0,0
CAM0051920,0,0,0,0,0
CAM0049188,0,0,0,0,0
CAM0043091,0,0,0,0,0
CAM0042037,0,0,0,0,0
CAM0042559,0,0,0,0,0
CAM0041659,0,0,0,0,0
CAM0042651,0,0,0,0,0
CAM0041714,0,0,0,0,0
CAM0041966,0,0,0,0,0
CAM0040831,0,0,0,0,0
CAM0042923,0,0,0,0,0
CAM0041814,0,0,0,0,0
CAM0042552,0,0,0,0,0
CAM0041397,0,0,0,0,0
CAM0041926,0,0,0,0,0
CAM0040987,0,0,0,0,0
CAM0042297,0,0,0,0,0
CAM0041149,0,0,0,0,0
CAM0041917,0,0,0,0,0
CAM0040839,0,0,0,0,0
CAM0041310,0,0,0,0,0
CAM0040118,0,0,0,0,0
CAM0045474,0,0,0,0,0
CAM0045512,0,0,0,0,0
CAM0028988,0,0,0,0,0
CAM0028695,0,0,0,0,0
CAM0035417,0,0,0,0,0
CAM0036901,0,0,0,0,0
CAM0029775,0,0,0,0,0
CAM0028676,0,0,0,0,0
CAM0021284,0,0,0,0,0
CAM0020069,0,0,0,0,0
CAM0021619,0,0,0,0,0
CAM0020406,0,0,0,0,0
CAM0011365,0,0,0,0,0
CAM0010179,0,0,0,0,0
CAM0010165,0,0,0,0,0
CAM0009145,0,0,0,0,0
CAM0009950,0,0,0,0,0
CAM0008848,0,0,0,0,0
CAM0010062,0,0,0,0,0
CAM0009192,0,0,0,0,0
CAM0009055,0,0,0,0,0
CAM0008267,0,0,0,0,0
CAM0008727,0,0,0,0,0
CAM0007520,0,0,0,0,0
CAL9981366,0,0,0,0,0
CAL9980323,0,0,0,0,0
CAL9980962,0,0,0,0,0
CAL9979887,0,0,0,0,0
CAL9980530,0,0,0,0,0
CAL9979693,0,0,0,0,0
CAL9970889,0,0,0,0,0
CAL9969788,0,0,0,0,0
CAL9971192,0,0,0,0,0
CAL9970200,0,0,0,0,0
CAL9970826,0,0,0,0,0
CAL9969774,0,0,0,0,0
CAL9970620,0,0,0,0,0
CAL9969656,0,0,0,0,0
CAL9965632,0,0,0,0,0
CAL9961014,0,0,0,0,0
CAL9960095,0,0,0,0,0
CAL9966429,0,0,0,0,0
CAL9959071,0,0,0,0,0
CAL9965719,0,0,0,0,0
CAL9965698,0,0,0,0,0
CAL9958490,0,0,0,0,0
CAL9961262,0,0,0,0,0
CAL9960057,0,0,0,0,0
CAL9961323,0,0,0,0,0
CAL9960273,0,0,0,0,0
CAL9958463,0,0,0,0,0
CAL9961598,0,0,0,0,0
CAL9960467,0,0,0,0,0
CAL9965691,0,0,0,0,0
CAL9961507,0,0,0,0,0
CAL9960395,0,0,0,0,0
CAL9961126,0,0,0,0,0
CAL9960068,0,0,0,0,0
XOU20988,0,0,0,0,0
XOT88490,0,0,0,0,0
YP_011108823,0,0,0,0,0
YP_011108771,0,0,0,0,0
YP_011108713,0,0,0,0,0
XOT40235,0,0,0,0,0
XOT39798,1,1,1,0,0
XOT37984,0,0,0,0,0
XJP46991,0,0,0,0,0
XOS73725,0,0,0,0,0
XOS72248,0,0,0,0,0
XOS71006,0,0,0,0,0
XOS70336,1,1,1,0,0
XOS70227,0,0,0,0,0
XOS70151,0,0,0,0,0
XOS69996,0,0,0,0,0
XOS69840,1,1,1,0,0
XOS69735,0,0,0,0,0
XOS69093,0,0,0,0,0
XOS68277,0,0,0,0,0
XOS68108,0,0,0,0,0
XOS67895,0,0,0,0,0
XOS67403,0,0,0,0,0
XOS67356,0,0,0,0,0
XOS67127,0,0,0,0,0
XOS67041,0,0,0,0,0
XOS67020,0,0,0,0,0
XOS66747,0,0,0,0,0
XOS66738,0,0,0,0,0
XOS66579,0,0,0,0,0
XOS65941,0,0,0,0,0
XOS65370,1,1,1,0,0
XOS65369,1,1,1,0,0
XOS64850,0,0,0,0,0
XOS64273,0,0,0,0,0
XOS63943,0,0,0,0,0
XOS63707,0,0,0,0,0
XOS63655,0,0,0,0,0
XOS63260,0,0,0,0,0
XOS63005,0,0,0,0,0
XOS62945,0,0,0,0,0
XOS62779,0,0,0,0,0
XOS61832,1,1,1,0,0
XOS61786,0,0,0,0,0
XOS61644,0,0,0,0,0
XOS61487,0,0,0,0,0
XOS61306,0,0,0,0,0
XOS60810,0,0,0,0,0
XOS60468,0,0,0,0,0
XOS60251,0,0,0,0,0
XOS59472,0,0,0,0,0
XOS59471,1,1,1,0,0
XOS59345,0,0,0,0,0
XOS58323,0,0,0,0,0
XOS58064,0,0,0,0,0
XOS57001,1,1,1,0,0
XOS56677,0,0,0,0,0
XOS56450,0,0,0,0,0
XOS56387,0,0,0,0,0
XOS56346,0,0,0,0,0
XOS55587,0,0,0,0,0
XOS55399,0,0,0,0,0
XOS55230,0,0,0,0,0
XOS55164,0,0,0,0,0
XOS54634,0,0,0,0,0
XOS54251,0,0,0,0,0
XOS52958,0,0,0,0,0
XOS52812,0,0,0,0,0
XOS52678,1,1,1,0,0
XOS51285,0,0,0,0,0
XOS49849,0,0,0,0,0
XOS49740,0,0,0,0,0
XOS49370,0,0,0,0,0
XOS49000,0,0,0,0,0
XOS48702,0,0,0,0,0
XOS48175,0,0,0,0,0
XOS47525,0,0,0,0,0
XOS47258,0,0,0,0,0
XOS47054,0,0,0,0,0
XOS46643,0,0,0,0,0
XOS46627,0,0,0,0,0
XOS46481,0,0,0,0,0
XOS45694,0,0,0,0,0
XOS45357,0,0,0,0,0
XOS44562,0,0,0,0,0
XOS43648,0,0,0,0,0
XOS43545,0,0,0,0,0
XOS43344,0,0,0,0,0
XOS43268,0,0,0,0,0
XOS43105,0,0,0,0,0
XOS42944,0,0,0,0,0
XOS41541,0,0,0,0,0
XOS41138,0,0,0,0,0
XOS40969,0,0,0,0,0
XOS40286,0,0,0,0,0
XOS39985,0,0,0,0,0
XOS39312,0,0,0,0,0
XOS39179,0,0,0,0,0
XOS39162,0,0,0,0,0
XOS39141,0,0,0,0,0
XOS38923,0,0,0,0,0
XOS38030,0,0,0,0,0
XOS37905,0,0,0,0,0
XOS37541,0,0,0,0,0
XOS36958,0,0,0,0,0
XOS36795,0,0,0,0,0
XOS35761,0,0,0,0,0
XOS35688,0,0,0,0,0
XOS35578,0,0,0,0,0
XOS35262,0,0,0,0,0
XOS34804,0,0,0,0,0
XOS34479,0,0,0,0,0
XOS34173,0,0,0,0,0
XOS33684,0,0,0,0,0
XOS33369,0,0,0,0,0
XOS33116,0,0,0,0,0
XOS32638,1,1,1,0,0
XOS31043,0,0,0,0,0
XOS28573,1,1,1,0,0
XOS28292,1,1,1,0,0
XOS25815,0,0,0,0,0
XOS25364,1,1,1,0,0
XOS24228,0,0,0,0,0
XOS22228,0,0,0,0,0
XOS21353,0,0,0,0,0
XOS21150,0,0,0,0,0
XOS20859,0,0,0,0,0
XOS20177,0,0,0,0,0
XOS20052,0,0,0,0,0
XOS19349,0,0,0,0,0
XOS19058,0,0,0,0,0
XOS17920,0,0,0,0,0
XOS17677,0,0,0,0,0
XOS17631,0,0,0,0,0
XOS17099,0,0,0,0,0
XOS17036,0,0,0,0,0
XOS13538,0,0,0,0,0
XOS13405,1,1,1,0,0
XOS13038,0,0,0,0,0
XOS12095,0,0,0,0,0
XOS11304,0,0,0,0,0
XOS10815,0,0,0,0,0
XOS10110,1,1,1,0,0
XOS10066,0,0,0,0,0
XOS09967,0,0,0,0,0
XOS09896,0,0,0,0,0
XOS09766,0,0,0,0,0
XOS09082,0,0,0,0,0
XOS08904,0,0,0,0,0
XOS08675,0,0,0,0,0
XOS08265,1,1,1,0,0
XOS07971,0,0,0,0,0
XOS07809,0,0,0,0,0
XOS07492,0,0,0,0,0
XOS06989,0,0,0,0,0
XOS06773,0,0,0,0,0
XOS05408,0,0,0,0,0
XOS05170,0,0,0,0,0
XOS05156,0,0,1,0,0
XOS05066,0,0,0,0,0
XOS03599,0,0,0,0,0
XOS02778,0,0,0,0,0
XOS02691,0,0,0,0,0
XOS02326,0,0,0,0,0
XOS02234,0,0,0,0,0
XOS01833,0,0,0,0,0
XOS01606,0,0,0,0,0
XOS01475,0,0,0,0,0
XOS01144,0,0,0,0,0
XOS01038,0,0,0,0,0
XOS00902,0,0,0,0,0
XOS00534,0,0,0,0,0
XOS00436,0,0,0,0,0
XOS00257,0,0,0,0,0
XOR99742,0,0,0,0,0
XOR99094,0,0,0,0,0
XOR98083,0,0,0,0,0
XOR97908,0,0,0,0,0
XOR97684,0,0,0,0,0
XOR97311,0,0,0,0,0
XOR97276,0,0,0,0,0
XOR96500,0,0,0,0,0
XOR95984,0,0,0,0,0
XOR95897,0,0,0,0,0
XOR95616,0,0,0,0,0
XOR95476,0,0,0,0,0
XOR95411,0,0,0,0,0
XOR95247,0,0,0,0,0
XOR95132,0,0,0,0,0
XOR94225,0,0,0,0,0
XOR94190,0,0,0,0,0
XOR94015,0,0,0,0,0
XOR93751,0,0,0,0,0
XOR93566,0,0,0,0,0
XOR92952,0,0,0,0,0
XOR92561,0,0,0,0,0
XOR92118,0,0,0,0,0
XOR92038,1,1,1,0,0
XOR91955,0,0,0,0,0
XOR91742,0,0,0,0,0
XOR91616,0,0,0,0,0
XOR91179,0,0,0,0,0
XOR91130,0,0,0,0,0
XOR91056,0,0,0,0,0
XOR90835,0,0,0,0,0
XOR90744,0,0,0,0,0
XOR90451,0,0,0,0,0
XOR90310,0,0,0,0,0
XOR89179,0,0,0,0,0
XOR88942,0,0,0,0,0
XOR88823,0,0,0,0,0
XOR88738,0,0,0,0,0
XOR88223,0,0,0,0,0
XOR86581,0,0,0,0,0
XOR86384,0,0,0,0,0
XOR86326,0,0,0,0,0
XOR85920,0,0,0,0,0
XOR85644,0,0,0,0,0
XOR85537,0,0,0,0,0
XOR85385,1,1,1,0,0
XOR85339,0,0,0,0,0
XOR85023,0,0,0,0,0
XOR84856,0,0,1,0,0
XOR84295,0,0,0,0,0
XOR84192,0,0,0,0,0
XOR83761,0,0,0,0,0
XOR83598,0,0,0,0,0
XOR82736,0,0,0,0,0
XOR82044,0,0,0,0,0
XOR80525,0,0,0,0,0
XOR80379,0,0,0,0,0
XOR78747,0,0,0,0,0
XOR78396,0,0,0,0,0
XOR78082,0,0,0,0,0
XOR77605,0,0,0,0,0
XOR77553,0,0,0,0,0
XOR76766,0,0,0,0,0
XOR76747,0,0,0,0,0
XOR76662,0,0,0,0,0
XOR76507,1,1,1,0,0
XOR76298,0,0,0,0,0
XOR76172,0,0,0,0,0
XOR75671,0,0,0,0,0
XOR75323,0,0,0,0,0
XOR75125,0,0,0,0,0
XOR74924,0,0,0,0,0
XOR74694,0,0,0,0,0
XOR74364,0,0,0,0,0
XOR73130,0,0,0,0,0
XOR71808,0,0,0,0,0
XOR71345,0,0,0,0,0
XOR70083,0,0,0,0,0
XOR69809,0,0,0,0,0
XOR69773,0,0,0,0,0
XOR69348,0,0,0,0,0
XOR69238,0,0,0,0,0
XOR69172,0,0,0,0,0
XOR69130,0,0,0,0,0
XOR68685,0,0,0,0,0
XOR68555,0,0,0,0,0
XOR68253,0,0,0,0,0
XOR67841,0,0,0,0,0
XOR67448,0,0,0,0,0
XOR67158,0,0,0,0,0
XOR66688,0,0,0,0,0
XOR65995,0,0,0,0,0
XOR64990,0,0,0,0,0
XOR64472,0,0,0,0,0
XOR64429,0,0,0,0,0
XOR63545,0,0,0,0,0
XOR63526,0,0,0,0,0
XOR63187,0,0,0,0,0
XOR63034,0,0,0,0,0
XOR63028,0,0,0,0,0
XOR60906,0,0,0,0,0
XOR59935,1,1,0,0,0
XOR59669,0,0,1,0,0
XOR59488,0,0,0,0,0
XOR58766,0,0,0,0,0
