accession,tOPT,TM
XAV38279,37,68
WPJ20895,37,68
WZX06288,42,65
WZX06023,38,68
WZK93392,38,67
WZE64652,38,69
WPJ56242,38,69
WPJ52625,37,68
WPJ51230,38,69
WPJ50052,37,69
WPJ49804,37,68
WPJ49532,37,68
WPJ48896,44,67
WPJ48449,37,68
WPJ48172,37,68
WPJ47821,37,68
WPJ47352,37,68
WXW92973,49,71
WXW92576,51,73
WWT49612,38,68
WWT39338,40,75
WWS25222,38,69
WWS24773,38,69
WWS24499,38,69
WWS24067,38,69
WWS23726,38,69
WWS23646,37,68
WWS23156,38,69
WWP52119,35,65
AFD02779,50,70
WWE96862,38,68
WVX98315,44,68
WVP82737,41,69
WNV47410,37,70
WPJ67653,38,69
AHY26549,40,69
UYE95321,41,70
WQZ01008,34,67
WCD43754,38,68
WCD43576,42,69
WQN07024,37,67
CAK6624514,38,68
UYD60058,33,63
UYD59387,32,66
WPK18152,38,68
WPJ72144,37,66
WPJ71756,38,68
WPJ71487,38,68
WPJ71219,38,69
WPJ70693,38,68
WPJ70471,35,65
WPJ21291,38,69
WPH58411,49,71
BEU75481,40,69
WOZ56556,44,68
WOZ17414,40,69
WOL24921,38,68
QEG11013,38,69
WOF01167,39,66
UGL60147,41,69
WNO29881,37,66
WNM74744,42,67
WNM73673,47,71
WNM72963,42,67
WNL50962,62,71
USL85923,41,68
UVK61175,44,69
UVK60931,49,71
UVK59985,49,71
UOW93514,42,67
UMO76276,40,67
UGL63081,42,67
QRI45771,49,71
QPL13722,49,71
QJD50830,41,67
QFP97398,49,71
AYB70922,47,71
ATN94050,44,72
WLY86624,37,67
WLY86237,38,68
WLY86150,37,67
WLY85931,38,68
UNA01904,38,68
WLW37256,48,69
WLW37101,56,71
WLW36780,49,69
WGH49847,45,67
WGH49652,45,67
WLI71662,38,66
WBM23547,37,67
WKV22974,38,68
WKM80407,43,68
WKK95812,38,69
WKN59823,37,68
CBZ42216,37,71
WJZ70188,37,71
WJZ48367,78,78
AYJ75996,38,67
AYJ75770,39,66
AYJ75370,39,66
AYJ74142,39,66
WJJ57102,42,65
WJJ54027,41,69
WJE87915,39,76
AET72752,52,70
UGO47028,42,68
QPX74464,41,68
WIL01900,35,65
WBL99177,41,69
QIW90405,38,68
WEM33337,41,71
YP_009784588,33,63
YP_009784362,37,67
YP_009781996,40,69
YP_009781764,40,69
YP_009781533,40,69
YP_009781300,40,69
YP_009781067,40,69
YP_009780853,40,69
YP_009780622,40,69
YP_008240121,33,63
WGH19872,49,71
WGG26156,37,67
WGA02305,38,70
WEU67818,38,68
WDS61206,67,74
WDS60946,49,67
UYE95121,37,68
WDQ26312,37,68
BCV04678,66,72
WCS70008,37,67
WCS69761,38,67
WCS69506,38,67
WCS69248,39,67
WCS68993,37,66
WCS68068,37,66
WCS66854,38,68
YP_010670227,75,76
YP_010669606,64,74
YP_010669337,63,69
YP_010665831,34,67
YP_010656630,61,71
YP_010651450,41,68
BBI57387,34,67
ARM70861,37,67
UWI42346,45,72
UWI41987,64,76
UWI41736,46,70
UWI41487,41,65
UWI41211,45,70
UWI38913,53,76
UWI37982,47,70
UWI37891,40,64
UWI37731,55,76
UWI36644,48,71
UWI32215,41,64
UWI30082,38,69
UWI29292,41,65
UWI27732,47,71
UWI26683,41,65
UWI26206,53,76
UWI24926,59,74
UWI23381,53,76
UWI21488,42,65
UWI15660,42,65
UWI11542,42,69
UWI09827,45,70
UWI08431,54,71
UWI08126,41,65
UWI07714,47,70
UWI07163,63,75
UWI00314,45,69
UWH98425,44,69
UWH97079,57,73
UWH91032,55,76
UWG88397,41,64
UWG85821,45,70
UWG85258,47,70
UWG85164,42,65
UWG81356,46,70
UWG80022,45,69
UWG76100,44,70
UWG72394,56,76
UWG67801,56,76
UWD76455,63,76
UWD72994,57,77
UWD71689,54,72
UWD68242,62,75
UWD65860,44,70
UWD63872,46,70
UWD63122,46,75
UWD61934,43,65
UWD60996,41,64
UWD60599,62,76
UWD59538,42,64
WBM58936,38,68
YP_010104848,42,67
YP_010103975,42,68
YP_010074718,38,68
YP_010074246,38,69
YP_010073980,38,68
YP_010071786,38,68
YP_010071083,38,68
YP_010068837,37,67
YP_009889461,43,68
YP_009889258,41,69
YP_009889058,41,69
YP_009888850,41,69
YP_009888648,41,68
YP_009888443,41,69
YP_009888240,41,69
YP_009887835,41,69
YP_009887651,41,69
YP_009887458,41,69
YP_009884644,44,68
YP_009883756,35,68
YP_009856032,35,65
YP_009854194,35,68
YP_009850742,35,65
YP_009779568,55,74
YP_009779353,55,74
YP_009779142,55,74
YP_009778891,74,76
YP_009778613,74,76
YP_009778325,74,76
YP_009594818,45,72
YP_007237363,42,68
YP_004956966,37,71
YP_004421719,37,71
YP_004300858,35,67
YP_004300647,37,64
YP_003858336,35,66
YP_002854376,38,68
YP_001468521,33,63
YP_802982,38,68
YP_239013,36,66
NP_943894,32,62
NP_049656,42,65
YP_010103459,41,69
YP_010100625,34,67
YP_010100140,38,68
YP_010097317,40,70
YP_010096010,38,69
YP_010095309,52,70
YP_010094912,33,66
YP_010094381,34,67
YP_010093088,37,67
YP_010076514,38,68
YP_010075206,42,66
YP_010073689,38,68
YP_010073411,38,68
YP_010072984,42,65
YP_010071519,38,68
YP_010069607,38,68
YP_010069064,38,68
YP_010068278,38,68
YP_009882750,43,69
YP_009881357,41,69
YP_009881158,41,69
YP_009880227,41,69
YP_009879789,41,68
YP_009876908,35,63
YP_009842026,37,64
YP_009840256,49,71
YP_009840008,49,71
YP_009839522,49,71
YP_009838222,41,68
YP_009816092,55,71
YP_009796504,43,68
YP_009796288,44,67
YP_009791320,80,77
YP_009619249,38,68
YP_009618855,38,68
YP_009611074,42,67
YP_010092184,36,65
YP_010090394,52,70
YP_010088816,50,68
YP_009876592,41,69
YP_009610853,42,67
YP_009610622,46,70
YP_009609359,36,65
YP_009601990,39,71
YP_009597225,37,71
YP_009594457,35,64
YP_009325147,68,73
YP_009324322,57,74
YP_009321437,63,71
YP_009320595,64,74
YP_009293454,41,69
YP_009285575,35,66
YP_009281381,38,68
YP_009286400,38,65
YP_010355759,64,74
YP_010355540,65,74
YP_010355315,52,70
YP_010088440,38,67
YP_010077879,34,64
YP_010066716,38,68
YP_010066255,38,68
YP_010066094,38,68
YP_009806433,58,74
YP_009783297,55,71
YP_009779999,52,72
YP_009625811,36,65
YP_009607233,37,68
YP_009606952,36,69
YP_009601143,48,70
YP_009592688,33,63
YP_009321653,37,71
YP_009302259,58,70
YP_009301664,60,70
YP_009225812,41,69
YP_009203755,36,65
YP_009218695,36,66
YP_009213881,44,70
YP_009213662,69,77
YP_009212273,47,70
YP_009211461,38,65
YP_009209789,43,70
YP_009207222,44,70
YP_009205735,33,67
YP_009202771,34,66
YP_009201357,37,68
YP_009196633,34,67
YP_009194281,37,68
YP_009190197,35,65
YP_009188251,56,71
YP_009149169,32,62
YP_009148489,38,68
YP_009146476,36,65
YP_009153642,38,68
YP_009147549,37,65
YP_009151072,31,64
YP_009142942,48,70
YP_009140927,67,75
YP_009140289,35,65
YP_009134387,74,76
YP_009133716,52,74
YP_009134139,64,74
YP_009118708,38,71
YP_009100585,38,67
YP_009101601,43,73
YP_009056630,37,67
YP_009056385,36,67
YP_009044611,33,63
YP_009042949,33,63
YP_009037462,37,67
YP_009031422,33,62
YP_009030649,38,68
YP_009030086,35,66
YP_009030363,41,69
YP_009011443,33,64
YP_009008281,58,70
YP_009008013,54,70
YP_009005301,37,67
YP_009006302,37,68
YP_009003226,41,65
YP_008129993,59,74
YP_008125207,37,66
YP_008060562,35,66
YP_007877893,54,70
YP_007877692,66,77
YP_007676800,34,63
YP_007677317,52,71
YP_007675626,54,70
YP_007675086,53,73
YP_007674466,66,73
YP_007673932,64,76
YP_007673070,53,70
YP_007517990,49,70
YP_007348675,37,68
YP_007349132,38,65
YP_007010273,31,65
YP_007008023,41,69
YP_007007269,37,69
YP_007004784,38,69
YP_007004426,38,68
YP_007004137,33,66
YP_007003452,37,66
YP_006987377,43,72
YP_006986592,38,68
YP_006986313,35,65
YP_006908064,37,71
YP_004782219,51,74
YP_004508574,55,73
YP_004414943,38,68
YP_004325007,50,67
YP_004324773,54,71
YP_004324526,55,71
YP_004324241,77,80
YP_004323997,49,69
YP_004323779,55,74
YP_004323524,61,74
YP_004323311,55,73
YP_004323072,50,70
YP_004322838,48,70
YP_004322579,65,76
YP_004322308,79,77
YP_004063729,43,70
YP_004009896,38,66
YP_004009435,39,72
YP_003934669,42,69
YP_003734188,33,67
YP_003358542,41,68
YP_003359088,37,62
YP_003097304,64,75
YP_002922386,34,67
YP_002922097,39,71
YP_001595166,34,67
YP_001469368,38,71
YP_874025,52,73
YP_717845,54,71
YP_214708,60,74
YP_214417,67,77
YP_195169,55,70
YP_010066924,38,68
YP_009167854,38,69
YP_009167411,38,68
YP_009102247,38,68
YP_009098427,38,68
YP_002853997,38,68
NP_899256,38,68
NP_891595,38,71
NP_861734,37,67
QXO05949,37,70
QQV87800,37,70
WAX22921,58,73
WAX13854,39,70
WAX13579,39,70
WAX13330,38,68
WAX13230,38,68
WAX12761,38,68
WAK44051,38,68
WAE77217,42,72
WAB25193,33,67
WAB25015,33,66
UZO33445,37,68
UJJ74682,38,67
BAN78387,39,67
UYM28686,36,65
UYL05959,38,69
UYL05785,37,68
UYL05000,33,67
UYE98703,42,73
UYA57670,50,69
UXR28913,37,68
UCR90956,41,68
UXD79538,37,68
UWG30902,47,70
UWG28160,44,69
UWG19964,53,76
UWG19261,46,70
UWG19187,54,76
UWG18507,45,74
UWG17694,41,64
UWG13353,54,72
UWG12747,48,70
UWG12438,54,71
UWG09164,65,76
UWF95006,54,76
UWF93719,43,69
UWF91489,43,65
UWF90421,43,65
UWF86463,47,70
UWF84457,55,76
UVY63720,41,66
UVY58950,56,76
UVY47793,46,70
UVY45357,64,76
UVY18385,54,75
UVY15131,41,65
UVY14264,62,76
UVY13048,53,75
UVY10328,46,75
UVX97391,41,65
UVY34477,41,65
UVY33917,63,75
UVY28423,61,75
UVX94050,41,64
UVX93068,45,69
UVX89615,40,64
UVX88473,44,69
UVX88133,43,69
UVX87975,41,65
UVX85844,48,76
UVX85100,45,69
UVX84758,41,65
UVX83625,44,69
UVX81488,46,74
UVX77453,46,70
UVX70802,51,76
UVX66292,38,68
UVX62181,40,64
UVX61781,48,70
UVX61315,45,70
UVX60619,38,68
UVX59103,42,66
UVX58638,44,69
UVX57582,46,74
UVX57079,45,75
UVX55046,47,70
UVX53099,46,72
UVX51288,54,76
UVX49700,40,64
UVX49549,45,74
UVX48383,46,70
UVX46683,41,64
UVX45782,47,70
UVX43670,46,70
UVX42389,45,69
UVX42358,55,76
UVX40683,45,69
UVX39340,42,65
UVX38526,45,69
UVX35817,46,70
UVX32266,41,64
UVN10173,42,65
UVN07576,52,74
UVN07316,45,69
UVN07047,42,65
UVN04232,47,70
UVN02982,56,76
UVM99981,46,70
UVM99806,48,75
UVM99463,46,70
UVM99079,45,69
UVM98451,45,74
UVM97273,45,75
UVM90394,40,64
UVM89076,44,70
UVM87152,46,70
UVM86381,47,75
UVM82614,45,70
QPI17989,39,68
UVD32418,37,66
UTY64278,35,65
URQ08958,41,68
URQ08855,41,69
UQS92958,41,68
UVD39932,47,71
UVD36729,38,68
QYC51163,37,68
UUV44449,43,63
UUV43823,43,63
UUG67334,37,68
UUG67061,37,68
UTS53940,45,75
UTQ80312,38,68
UTQ79362,38,69
URQ03592,37,68
URQ03201,38,68
CAH1086861,45,68
USM81400,38,69
USL86008,37,66
USL85527,37,66
USL83937,38,71
USL83700,46,74
URX66094,42,70
URX65903,42,70
URM87611,49,71
URM86658,49,71
URG17923,44,68
URG13603,44,68
QNO12504,44,69
QNN98330,44,69
QGH79854,49,71
QGH78970,49,71
QGH74328,49,71
QDF17256,49,71
QAY12736,47,71
QAY08746,47,71
AXH66591,49,71
ASN73160,41,69
UPW36125,44,68
QIA28551,34,65
UPU15759,41,69
BCU98749,75,77
BCU97102,50,68
BCU96367,69,76
BCU93598,71,76
UAW58475,38,68
QKE56529,36,67
UOL51478,37,68
UOK17642,38,69
UKH48963,34,67
QZI93874,38,71
QZI93613,38,71
QZI93343,38,71
UNY39839,39,71
AOO19504,55,74
AOO19291,55,74
AOO19082,55,74
AOO18864,55,74
AOO18439,55,74
AOO18225,55,74
AOO18013,55,74
AOO17797,55,74
AOO17367,55,74
AOO17152,55,74
AOO16936,55,74
AOO16721,55,74
AOO16290,55,74
AOO16071,55,74
AOO15649,55,74
AOO15431,55,74
AOO15222,55,74
UNI72783,38,68
UNI71239,41,69
UNA00809,66,79
UJJ74426,38,68
ULF50505,38,68
CAD5241578,37,68
CAD5241838,38,69
CAD5241288,37,68
CAD5241893,38,69
CAD5242979,37,68
CAD5241258,37,68
CAD5242997,37,68
CAD5242033,37,68
CAD5240909,44,68
CAD5240781,44,68
CAD5240622,44,68
UJD05803,39,65
UJD05624,39,65
UJD04854,44,68
UIU27986,37,68
UIU27719,38,68
UIU27292,38,67
UIU27019,38,67
BCO16337,60,76
UIO58113,38,68
QXN68748,41,67
UGV22859,35,65
CAD7712137,38,68
UGO55391,38,68
UGO53194,38,69
UGO48377,38,69
UGO47392,38,69
QEG11453,38,69
UFK27401,38,68
UFK27161,37,66
UEM46871,41,69
QZI84987,38,68
QZI84721,38,68
QBX06081,37,68
QVW29194,37,67
AEM91786,41,69
UCR92417,41,69
UCR75175,38,68
QVW54230,38,68
ALO79557,34,62
QWY13748,37,68
QZI87434,38,67
QXN70802,36,65
QXN72548,43,63
CAG7581408,46,73
QLF82902,38,69
DAY77432,45,72
DAY70949,53,66
DAY67151,43,73
DAY61564,41,74
DAY56511,42,69
DAZ84823,42,72
DAZ81496,46,70
DAZ75188,56,76
DAZ44576,50,67
DAZ32313,41,69
DAZ19310,49,69
DAZ15641,54,74
DAY84999,55,74
DAY45479,49,70
DAY40793,52,74
DAY38963,55,76
DAY34804,40,69
DAY30063,47,67
DAY05462,59,77
DAX93245,54,77
DAX62769,41,70
DAX59072,43,71
DAX48377,58,66
DAW95738,46,70
DAW93212,55,76
DAW91235,51,74
DAW90396,53,75
DAW87161,55,76
DAW84899,55,77
DAW04747,45,70
DAW03198,53,76
DAV77222,34,64
DAV71145,47,71
DAV68700,54,69
DAV62600,53,78
DAV61489,46,72
DAV59395,56,69
DAV57977,56,70
DAV47470,47,72
DAV45435,48,73
DAW81752,56,70
DAW76401,54,71
DAW64540,44,69
DAW43500,44,79
DAW41554,60,76
DAW39571,45,71
DAS44677,61,75
DAS32488,58,69
DAS26878,53,75
DAS08259,53,68
DAS05606,47,66
DAS00055,53,76
DAR95438,47,70
DAR95104,58,71
DAR86719,56,75
DAR73050,38,69
DAR65622,34,62
DAR64112,54,69
DAT10795,55,76
DAT07171,38,70
DAT04926,60,70
DAT03367,61,75
DAS96418,55,76
DAS89662,42,71
DAS79165,35,66
DAS65812,53,75
DAS65720,55,76
DAT76562,49,73
DAT64920,42,71
DAT50467,45,70
DAU27496,50,74
DAU26812,51,74
DAU24194,48,69
DAU10990,44,73
DAU04307,52,72
DAV25098,49,75
DAV19699,45,71
DAV08528,55,72
DAU91053,47,70
DAU84544,47,71
QWV60119,37,67
DAQ92877,34,64
DAQ71113,57,77
DAQ69646,53,75
DAO92977,56,77
DAO89867,45,70
DAO78183,61,73
DAO71719,47,69
DAO67918,56,76
DAO62750,56,72
DAO60330,39,76
DAO46709,53,75
DAO34101,45,70
DAO27235,43,71
DAO26789,48,74
DAO26592,51,68
DAO25717,33,64
DAO04244,55,68
DAN77898,36,65
DAN61389,53,76
DAN61203,48,76
DAN52048,60,77
DAN43859,44,74
DAN38725,47,75
DAN35661,39,71
DAN30538,57,75
DAQ39006,54,76
DAQ31529,58,77
DAQ29082,45,70
DAQ28145,49,79
DAQ00717,55,76
DAP52441,43,67
DAP19468,49,70
DAP15226,44,73
DAP07343,52,76
DAP06953,44,76
DAR52602,39,70
DAR49587,56,78
DAR49582,48,72
DAR40428,56,76
DAR38295,45,70
DAR36180,33,64
DAR16263,44,69
DAP89504,43,69
DAP83687,58,76
DAJ88760,41,68
DAJ83011,40,70
DAJ77360,44,69
DAJ50875,51,66
DAJ48419,48,71
DAJ44976,47,73
DAJ40846,43,62
DAJ27934,45,74
DAJ26825,55,76
DAN15183,39,66
DAM87790,38,71
DAM74473,66,73
DAM65441,53,67
DAM46295,45,65
DAM35757,61,72
DAM26601,45,70
DAM23424,36,68
DAM08316,54,75
DAM06116,54,76
DAL87323,50,68
DAL76680,57,77
DAL73243,36,66
DAL07836,54,76
DAL07180,51,72
DAK95768,51,74
DAK89547,45,66
DAK86258,54,75
DAL61264,40,63
DAL16914,48,68
DAK38288,46,72
DAK37747,49,68
DAK36611,49,68
DAK26560,35,64
DAJ22426,56,76
DAG89461,33,63
DAI05813,33,61
DAG78535,48,68
DAG74809,53,76
DAF97704,47,74
DAH45548,56,77
DAI91888,41,70
DAI90110,43,71
DAI80813,36,67
DAI70525,39,70
DAI66356,47,68
DAF93089,58,72
DAF92119,54,74
DAF89244,48,76
DAF85193,45,66
DAH56612,55,72
DAI20643,34,65
DAI15567,40,71
DAG65352,49,78
DAG56927,48,75
DAG32796,39,66
DAG18797,47,69
DAG13652,54,75
DAG10592,49,75
DAG09654,40,67
DAG06746,42,65
DAF62246,59,69
DAF59883,49,72
DAF57428,52,73
DAF42618,41,68
DAE82981,44,68
DAE82396,45,70
DAE72214,58,76
DAE61979,52,72
DAF39524,46,73
DAF32166,49,76
DAE93650,54,78
DAE47597,42,72
DAE39200,56,76
DAD91502,43,70
DAD89234,60,75
DAD78082,41,71
DAD60643,39,67
DAD57735,41,68
QMV34287,41,68
QVW27225,35,65
QVW27118,41,69
QVD58345,40,69
QVD57469,40,69
QVD57263,40,69
QVD56932,40,69
QVD56744,40,69
QVD56506,40,69
QVD56391,40,69
QVD56164,40,69
QTP96214,40,69
QIN95933,34,67
QIN95546,42,70
QSL99137,37,67
QQO89401,41,69
QQO89100,41,69
QQO88887,41,69
QQO87138,41,69
QIW86970,36,66
QIG60894,33,63
QEG10538,37,68
QEG10268,37,68
CAD6025554,37,68
QIQ62188,41,69
QHR76501,37,67
QHR72770,37,67
QHR72445,34,67
QHR70763,34,67
QHR68275,37,67
QHR67142,37,67
QHR63892,38,68
QHR63637,38,68
QIG76122,46,68
QIG70665,36,66
CAB5231611,42,65
CAB5238263,44,73
CAB4241512,36,65
CAB5209293,39,69
CAB5227715,49,71
CAB5226400,34,69
CAB5221824,45,67
CAB5221310,39,72
CAB5220877,34,66
CAB5220629,42,73
CAB5219759,54,72
CAB5218177,43,66
CAB5214459,38,67
CAB4221319,44,72
CAB4220954,39,68
CAB4185457,44,68
CAB4185816,43,66
CAB4182011,44,76
CAB4218125,36,70
CAB4197069,47,62
CAB4193876,39,71
CAB4175651,38,70
CAB4162524,48,69
CAB4162450,49,79
CAB4160483,40,68
CAB4160173,45,68
CAB4159024,40,71
CAB4143734,36,68
CAB4143755,40,68
CAB4143188,40,70
CAB4141218,48,72
CAB4140846,43,76
CAB4138102,40,66
CAB4133124,37,70
CAB4133386,47,75
CAB4129590,41,73
CAB4129088,40,70
CAB4124308,41,70
CAB4123086,53,74
QNI20574,37,67
QQM15584,38,68
QPX65695,37,70
QPX65528,37,70
QPX65362,37,71
QPX65202,37,71
QPX65037,37,71
QPX64878,37,71
QPX64713,37,71
QPX64548,37,71
QPX64384,37,71
QPX64219,37,71
QPX64056,37,71
QPX63893,37,71
QPX63747,37,70
QPX63558,37,70
QPX63392,37,70
QPX63225,37,71
QPX63048,37,70
QPX62881,37,71
QPP47086,38,68
QPI13810,41,69
QJT71472,41,68
QPB09003,37,69
QOI58243,42,68
BCM29362,35,65
CAD2272448,38,68
CAD2272721,38,69
CAA7537627,38,68
QOI72296,41,73
QOI71757,41,73
QOI71213,41,73
QHB42777,42,67
QHB42548,42,68
QHB42353,42,68
QHB42152,42,68
QHB41949,42,68
QHB41746,42,67
QHB41545,42,68
QOE32524,35,66
QNO01299,36,67
QNJ55093,37,68
QNJ54707,37,68
QMV29093,30,63
QMP82623,39,71
QLF86233,70,75
QJI53086,35,65
QEM41398,40,69
QEA10278,33,63
AYJ72901,34,65
QJA42573,34,67
QIW91024,38,68
AZU98248,37,70
QIG65668,47,70
QIG62736,37,70
QIG60461,41,69
QHJ73246,38,71
QHJ72973,38,71
QHJ74191,38,68
QHB49384,39,65
QHB48624,39,71
QHB43071,38,68
QGS83630,38,71
QGT54916,68,76
QGT54551,68,76
AZU99979,33,63
BBM61596,43,73
QFR57040,39,65
QFR55905,35,67
QEG06157,37,67
QEG05621,37,67
QEG05336,38,71
QEG11611,38,69
QDP62072,36,65
QDP43156,38,67
QDP42908,41,67
QDH49177,35,64
QDF13832,43,73
QCW19001,37,70
QBZ69741,33,63
AXF39272,41,68
QBQ75057,51,71
QBP06036,59,73
QBP05660,37,67
QBO66267,39,71
QBO61788,43,73
VEV89409,41,69
VEV88256,40,69
QAY00067,33,66
QAX99628,32,64
QAX98597,32,64
AZV01163,39,71
AZU97646,50,73
AYJ73872,67,74
AZB50076,40,69
VCU44694,38,67
AYR02066,55,71
AYN56560,37,67
ANZ51261,38,67
ATN94382,39,66
AVZ44624,40,69
AXQ67807,33,62
AXQ66908,34,62
AXN58082,38,68
AXH72831,38,73
AXH71182,37,69
AUV61177,38,68
AWM11720,37,67
AVX47505,40,69
AVR55694,38,69
ATW62044,42,68
AUV63986,39,69
AUV63451,38,68
AUR85771,35,67
AUO79438,39,66
ATV46299,44,71
ATI16906,38,68
ASZ78066,40,69
ASD51424,42,68
ASD51225,42,68
ASF00604,44,68
APZ82590,38,67
ARW57732,36,65
ANT44567,35,65
ALP47381,37,68
ALP47000,37,68
AIX46640,54,70
AIX43235,73,76
AIX42673,74,76
AIX38156,53,71
AIX37011,74,76
AIX28286,54,70
AIX17376,52,72
AOO17582,55,74
AOO15009,48,72
AOO10102,54,70
AOO09029,55,70
AOO08815,52,69
AOV57433,53,69
ADE34863,37,68
SCN45727,37,67
ANH51145,38,71
ADT64022,56,69
AMQ65926,35,67
AND75984,34,67
AND75713,34,66
AKN44575,38,68
AIM51864,41,67
AIM51663,42,68
ALY07866,37,67
BAR35141,60,77
BAR31758,79,76
BAR31384,70,75
AIM51312,41,67
AGS81270,37,71
AKF12926,48,70
AHJ86888,37,66
BAO09517,40,69
BAO09302,40,69
AHJ87492,37,67
BAQ22990,35,65
AIT75226,42,65
AIT74954,42,65
AIT74679,38,68
AIT74136,38,68
AIT73864,38,68
AIT73592,38,68
AIT73321,38,68
AIT73050,38,68
AIK67974,36,66
AHZ60211,42,68
AIM49846,33,63
AHB80791,53,71
AGY47872,41,68
AGY47668,33,63
AGY47401,37,65
AHZ95250,50,72
AGB62738,37,65
AGH07056,54,70
AGH06846,54,70
AEW24257,41,69
AGF89000,41,68
AGF88541,41,68
AGN33650,50,69
AEO97024,38,66
AGH57875,55,71
AGH57391,48,72
AGH56503,54,71
AGH56366,49,69
AGH26674,60,74
AGH07501,77,80
AGG54449,52,71
AGF91442,60,74
AFB17871,55,71
AFB17661,55,71
AFB15436,55,71
ADO98778,65,76
AFN37242,37,68
AFK66315,54,70
ADM79986,35,64
AEN94146,41,69
CBW37924,33,63
AAA32552,43,66
CAB40822,43,66
A0A514U5E6,38,68
A0A218MA15,37,67
A0A0M7QBP4,38,68
I7B6T6,38,68
A0AAU8GRT2,47,71
K8DUU8,36,66
A0ABZ0Z3D8,37,64
E1XT65,33,63
A0A9E7DUL0,35,63
A0A9E7DV42,35,63
A0A2Z5HMQ5,41,69
A0AAE9C8K7,42,69
A0A2I6PFU4,39,71
A0A5B9MVD9,38,68
A0A5B9MX47,38,68
A0A6G8R7Q8,38,68
A0A6G8R8G4,38,68
A0A5B9MWB5,38,68
A0A4Y6E901,38,68
A0A5B9NGB5,37,66
A0A5P8PIR4,34,64
G2ZIG1,40,69
G0XMD1,40,69
A0A6G6XH48,40,69
A0A6G6XFR4,40,69
A0A410TAW2,40,69
A0A6G6XFI1,40,69
A0A0M7Q9K3,38,68
A0A0M7QBB4,38,68
A0A0M7QF29,38,68
A0AAU6NT94,38,68
A0AAU8KYZ8,38,64
A0A449C4B8,38,68
A0A249XY36,38,68
I7KRM0,38,68
A0AAF0JKQ8,38,68
A0AAF0JJJ9,38,68
A0AAF0JKH6,38,68
A0A449C3H8,38,68
A0A449C5R6,38,68
A0A7D5FNU4,38,68
K4I5Z3,37,66
A0A160CB19,38,68
A0A7D5FNJ4,38,68
A0A3G2K9G2,42,68
A0A6J5KXW8,41,75
A0A6J7WVG2,35,69
A0A6B9WKF8,39,71
A0A6J5T6P1,39,71
A0A3G2K8Y5,42,68
K4I4U6,43,70
A0A6B9X404,38,71
A0A6J5LFH6,42,72
A0A482GQH0,39,69
A0A0F6TKR2,37,67
A0A482GE73,38,68
A0A482GIC4,38,68
A0A482MW79,38,68
A0A482MY81,37,67
A0A0F6THM6,37,67
A0A0F6TJ22,37,67
A0A482MVF0,37,67
A0A482MXI9,38,68
A0A482N1J3,38,68
A0A482GK03,37,67
A0A482GNA7,38,68
A0A482MYX6,38,68
A0A482N2J8,38,68
A0A2Z5ZCG4,40,68
A0A2Z4QE60,37,67
A0A223LFJ3,31,65
A0A291LG30,31,65
A0A2K9V5D8,38,69
A0A291LDL8,31,65
A0A291LG29,31,65
A0A3G3MBU9,38,67
A0A410T4Y3,33,66
A0A482GD61,38,68
A0A8F3HLW7,37,67
